experiment,changed,curvature_penalty,smooth,smoothing_strength,bisections,gradient_steps,learning_rate,early_stop,mean_start_validation_canonical,mean_final_validation_canonical,mean_start_train_canonical,mean_final_train_canonical,start_across_fold_path_distance,start_within_fold_path_distance,final_across_fold_path_distance,mean_final_curvature,horizon_50_weight_ratio,random_starts_for_similarity_anchor,seconds,validation_progress,similarity_progress,validation_weight,similarity_weight,combined_score_sum,combined_score_mean,validation_range_start,validation_range_end,distance_range_start,distance_range_end
bisections_5,bisections = 5,0.00025,True,0.9,5,15,0.04,False,-0.01222152695204706,-0.00981228768144581,-0.009577571309556682,-0.0009771892933187853,0.23012442096300162,0.5114866678778742,0.38467117946410606,0.24975927379923996,1.0,4,50.9,1.1008364077481272,1.1030866830697177,1.0,2.0,3.307009773887563,1.1023365912958543,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
bisections_6,bisections = 6,0.00025,True,0.9,6,15,0.04,False,-0.01222152695204706,-0.010170585010668436,-0.009577571309556682,-0.0009198789129224165,0.23012442096300162,0.5114866678778742,0.3812527357309505,0.23753780131350694,1.0,4,59.0,0.9371221807636276,1.1328215349086643,1.0,2.0,3.2027652505809563,1.0675884168603187,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
baseline,baseline,0.00025,True,0.9,4,15,0.04,False,-0.01222152695204706,-0.010032973545161115,-0.009577571309556682,-0.0008840568013319669,0.23012442096300162,0.5114866678778742,0.3965224584824163,0.049528306618119806,1.0,4,77.8,1.0,1.0,1.0,2.0,3.0,1.0,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
learning_rate_005,learning rate = 0.05,0.00025,True,0.9,4,15,0.05,False,-0.01222152695204706,-0.009987478081834292,-0.009577571309556682,-0.0008579740590515079,0.23012442096300162,0.5114866678778742,0.39912477986048545,0.052823443411237014,1.0,4,36.7,1.020787915517016,0.9773640736386261,1.0,2.0,2.9755160627942683,0.9918386875980895,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
curvature_0005,curvature = 0.0005,0.0005,True,0.9,4,15,0.04,False,-0.01222152695204706,-0.0101073002711019,-0.009577571309556682,-0.0008716791654110187,0.23012442096300162,0.5114866678778742,0.39854704893545934,0.04585138101799603,1.0,4,41.4,0.9660384225914127,0.982389384803415,1.0,2.0,2.9308171921982424,0.9769390640660808,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
smooth_08,smoothing = 0.8,0.00025,True,0.8,4,15,0.04,False,-0.01222152695204706,-0.010049612955497597,-0.009577571309556682,-0.0008438681790980503,0.23012442096300162,0.5114866678778742,0.4001679893729643,0.05355423489204969,1.0,4,42.2,0.9923970736633024,0.9682898624735639,1.0,2.0,2.9289767986104303,0.9763255995368101,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
curvature_0,curvature = 0,0.0,True,0.9,4,15,0.04,False,-0.01222152695204706,-0.009940300205402952,-0.009577571309556682,-0.0008949421683190805,0.23012442096300162,0.5114866678778742,0.40318611225279166,0.06783355235323588,1.0,4,42.8,1.0423445639784616,0.9420371452522802,1.0,2.0,2.926418854483022,0.9754729514943407,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
smooth_10,smoothing = 1.0,0.00025,True,1.0,4,15,0.04,False,-0.01222152695204706,-0.01008317758627302,-0.009577571309556682,-0.0009144682557828268,0.23012442096300162,0.5114866678778742,0.40132152743374566,0.046250838438909606,1.0,4,42.9,0.9770606278311755,0.9582559739542821,1.0,2.0,2.8935725757397397,0.9645241919132466,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
smooth_06,smoothing = 0.6,0.00025,True,0.6,4,15,0.04,False,-0.01222152695204706,-0.010035311964804084,-0.009577571309556682,-0.0007683966511445224,0.23012442096300162,0.5114866678778742,0.4030806500631507,0.06195292107253318,1.0,4,42.1,0.9989315226964023,0.9429544932703768,1.0,2.0,2.884840509237156,0.961613503079052,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
curvature_00075,curvature = 0.00075,0.00075,True,0.9,4,15,0.04,False,-0.01222152695204706,-0.010232542946702084,-0.009577571309556682,-0.0008517915475821398,0.23012442096300162,0.5114866678778742,0.40007101040026205,0.04088509776026478,1.0,4,41.8,0.9088121857510743,0.9691334204227046,1.0,2.0,2.847079026596483,0.9490263421988278,-0.01222152695204706,-0.010032973545161115,0.5114866678778742,0.3965224584824163
