experiment,algorithm,learning_rate,curvature_penalty,smooth,smoothing_strength,bisections,gradient_steps,pre_bisection_gradient_steps,full_iterations,mean_train_best_by_validation,mean_validation_best,mean_validation_all_starts,within_fold_mean_path_distance,across_fold_best_path_distance,mean_curvature_best,seconds,mean_train_best_by_train,mean_validation_best_by_train,mean_validation_good_start
full_lr001_iter8,full,0.01,0.0,False,0.0,,,,8.0,-0.0214096389576466,-0.0180190668006606,-0.0222164100699795,0.4569916493954122,0.3404451579352796,0.3264918151596104,66.0,-0.0146601998375125,-0.0257998512280113,-0.0225799710225872
full_lr001_iter12,full,0.01,0.0,False,0.0,,,,12.0,-0.0203073349693592,-0.0183809435142883,-0.0223337326580926,0.4332445399503082,0.3060238887760665,0.3911836769883369,71.9,-0.014160513201886,-0.0257867517687575,-0.0223025848442805
full_lr001_iter30,full,0.01,0.0,False,0.0,,,,30.0,-0.0172810372362595,-0.0208613078630225,-0.0236955546975981,0.3237601745523954,0.3009604520288294,0.5612436016985687,159.2,,,
glide_b4_reg001_smooth04,glide,0.04,0.001,True,0.4,4.0,10.0,10.0,,-0.013580373279648,-0.0244432615353242,-0.0245980253619964,0.0060022394675923,0.413783445671081,0.0826859918584257,247.4,-0.0135524882414232,-0.0246488632434394,-0.0245681491034787
glide_b4_reg0005_smooth0,glide,0.04,0.0005,False,0.0,4.0,10.0,10.0,,-0.0133925232139926,-0.0244987907244816,-0.024619934855424,0.0145805810391889,0.4421907601805938,0.1506194078487129,252.0,-0.0133840764431461,-0.0246544045222814,-0.0246165921225668
glide_lr004_pre10_b4_g10,glide,0.04,0.0,False,0.0,4.0,10.0,10.0,,-0.0133960947087629,-0.0245596637345667,-0.0246751492774962,0.0172773671241931,0.4544073449397021,0.2455393915130241,251.7,-0.0133906472646,-0.0246975437526347,-0.0246650798597889
glide_b4_reg001_smooth0,glide,0.04,0.001,False,0.0,4.0,10.0,10.0,,-0.0133960305209542,-0.0245347884311898,-0.024697849080455,0.0168961357217837,0.4390915753235537,0.1474168616855171,254.7,-0.0133872461708401,-0.0247331589228871,-0.02465765868866
full_lr002_iter30,full,0.02,0.0,False,0.0,,,,30.0,-0.0148321723925417,-0.0233948755531459,-0.0247182320900423,0.1834502014812421,0.3663853110399419,1.1655528180999897,155.7,,,
glide_b4_reg001_smooth02,glide,0.04,0.001,True,0.2,4.0,10.0,10.0,,-0.0134599713080808,-0.0245776913475753,-0.0247320218093805,0.0077955505609787,0.4286145118288172,0.1065990905401947,252.1,-0.0134463396745384,-0.0248633716320358,-0.0246430581742165
glide_b4_reg002_smooth02,glide,0.04,0.002,True,0.2,4.0,10.0,10.0,,-0.0134754576792647,-0.0247643127621893,-0.0249005515806524,0.0090312386200616,0.4198308738109439,0.092743527485378,253.6,-0.013468880524149,-0.0248494851082492,-0.0248397881190243
glide_lr002_pre10_b5_g10,glide,0.02,0.0,False,0.0,5.0,10.0,10.0,,-0.0132724936951958,-0.0249228171750808,-0.0249954162353473,0.0148556256046392,0.459335900127641,0.6732728948325486,277.0,,,
glide_lr004_pre0_b5_g10,glide,0.04,0.0,False,0.0,5.0,10.0,0.0,,-0.013279895486195,-0.0248762452597927,-0.0250579614843022,0.0211671127867075,0.4626193654714987,0.770044562785665,233.9,,,
glide_lr004_pre10_b6_g8,glide,0.04,0.0,False,0.0,6.0,8.0,10.0,,-0.0132508887434603,-0.0249610934140013,-0.0250682359799195,0.0212973326524883,0.4587132942192015,1.3528978938058778,268.5,,,
full_lr004_iter30,full,0.04,0.0,False,0.0,,,,30.0,-0.0134071502334462,-0.0243094754942926,-0.025084891247057,0.0809275578286126,0.4497039651786843,1.3160368116652603,155.2,,,
glide_lr004_pre10_b5_g10,glide,0.04,0.0,False,0.0,5.0,10.0,10.0,,-0.0132824603841969,-0.0249684169103969,-0.02511988625812,0.019448818317137,0.4613883380108818,0.7847955469970078,275.1,,,
glide_lr008_pre10_b5_g10,glide,0.08,0.0,False,0.0,5.0,10.0,10.0,,-0.0133671062631178,-0.0251367782142272,-0.0254550451682507,0.0279641374766691,0.4567204700049239,0.874443622346676,273.2,,,
