age,stock_weight,bond_weight,t_bill_weight
20,0.9,0.1,0.0
21,0.9,0.1,0.0
22,0.9,0.1,0.0
23,0.9,0.1,0.0
24,0.9,0.1,0.0
25,0.9,0.1,0.0
26,0.9,0.1,0.0
27,0.9,0.1,0.0
28,0.9,0.1,0.0
29,0.9,0.1,0.0
30,0.9,0.1,0.0
31,0.9,0.1,0.0
32,0.9,0.1,0.0
33,0.9,0.1,0.0
34,0.9,0.1,0.0
35,0.9,0.1,0.0
36,0.9,0.1,0.0
37,0.9,0.1,0.0
38,0.9,0.1,0.0
39,0.9,0.1,0.0
40,0.9,0.1,0.0
41,0.885,0.115,0.0
42,0.87,0.13,0.0
43,0.855,0.145,0.0
44,0.84,0.16,0.0
45,0.825,0.175,0.0
46,0.81,0.19,0.0
47,0.795,0.205,0.0
48,0.78,0.22,0.0
49,0.765,0.235,0.0
50,0.75,0.25,0.0
51,0.735,0.265,0.0
52,0.72,0.28,0.0
53,0.705,0.295,0.0
54,0.69,0.31,0.0
55,0.675,0.325,0.0
56,0.66,0.34,0.0
57,0.645,0.355,0.0
58,0.63,0.37,0.0
59,0.615,0.385,0.0
60,0.6,0.4,0.0
61,0.5766666667,0.41,0.0133333333
62,0.5533333333,0.42,0.0266666667
63,0.53,0.43,0.04
64,0.5066666667,0.44,0.0533333333
65,0.4833333333,0.45,0.0666666667
66,0.46,0.46,0.08
67,0.4366666667,0.47,0.0933333333
68,0.4133333333,0.48,0.1066666667
69,0.39,0.49,0.12
70,0.3666666667,0.5,0.1333333333
71,0.3433333333,0.51,0.1466666667
72,0.32,0.52,0.16
73,0.32,0.52,0.16
74,0.32,0.52,0.16
75,0.32,0.52,0.16
76,0.32,0.52,0.16
77,0.32,0.52,0.16
78,0.32,0.52,0.16
79,0.32,0.52,0.16
80,0.32,0.52,0.16
81,0.32,0.52,0.16
82,0.32,0.52,0.16
83,0.32,0.52,0.16
84,0.32,0.52,0.16
85,0.32,0.52,0.16
86,0.32,0.52,0.16
87,0.32,0.52,0.16
88,0.32,0.52,0.16
89,0.32,0.52,0.16
90,0.32,0.52,0.16
