arm,dataset,path_level_score,score_column,recorded_at_utc,horizon,yearly_score,stock_weight,bond_weight,t_bill_weight,block_length,num_simulations,seed,max_horizon,projected_continuation_horizon,portfolio_chunk_size,candidate_radius,projection_steps,optimization_objective,quantile_interpolation,horizon_1_anchor,worst_tail_fraction,selection_scale,projected_continuation,path_distance_lambda,path_direction_lambda,path_direction_term,path_direction
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,1,-0.0981423244979873,0.0,0.24,0.76,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,2,-0.09209998840741324,0.24,0.54,0.22,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,3,-0.07352648558600663,0.28,0.64,0.08,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,4,-0.05579264831264152,0.46,0.1,0.44,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,5,-0.0403928646296043,0.42,0.16,0.42,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,6,-0.03249584313052435,0.38,0.22,0.4,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,7,-0.030313488445695824,0.38,0.34,0.28,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,8,-0.027197080261808688,0.38,0.46,0.16,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,9,-0.02234784528315334,0.4,0.54,0.06,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
glide_path,from_1927,-0.00431429409921974,worst_4pct_mean,2026-07-03T23:05:24.526205+00:00,10,-0.018562178304884297,0.38,0.46,0.16,10,20000,20260616,50,54,500,0.5,4,mean of worst 4% annualized outcomes,lower,exact empirical one-year objective across observed years,0.04,per-horizon z-score of projected_worst_4pct_mean with penalties at horizon H,"candidate H step is extended N same-distance same-direction steps, projected to simplex and snapped to grid",0.0,0.0,added as lambda * cosine_similarity with most recent nonzero step,horizon H portfolio is the first year of an H-year path
