stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.025268643530268503
0.0,0.05,0.95,-0.025054882127773875
0.0,0.1,0.9,-0.024845971144370697
0.0,0.15,0.85,-0.024641555856915392
0.0,0.2,0.8,-0.024441842960331597
0.0,0.25,0.75,-0.024247140696912254
0.0,0.3,0.7,-0.024057343139114246
0.0,0.35,0.65,-0.023872732842473814
0.0,0.4,0.6,-0.023693317651658944
0.0,0.45,0.55,-0.02351935500074771
0.0,0.5,0.5,-0.023351443562659214
0.0,0.55,0.45,-0.0231891316733989
0.0,0.6,0.4,-0.0230323611800232
0.0,0.65,0.35,-0.02288114987174323
0.0,0.7,0.3,-0.022735490334671624
0.0,0.75,0.25,-0.02259529667675879
0.0,0.8,0.2,-0.022460474945263903
0.0,0.85,0.15,-0.02233117965335592
0.0,0.9,0.1,-0.022207171828664263
0.0,0.95,0.05,-0.022088365056376964
0.0,1.0,0.0,-0.021974752367855878
0.05,0.0,0.95,-0.02367675851131015
0.05,0.05,0.9,-0.023463363074412477
0.05,0.1,0.85,-0.023254782942624147
0.05,0.15,0.8,-0.02305113217491457
0.05,0.2,0.75,-0.022852763167496473
0.05,0.25,0.7,-0.022659562434533438
0.05,0.3,0.65,-0.022472247447236665
0.05,0.35,0.6,-0.0222907205308559
0.05,0.4,0.55,-0.022114893803908766
0.05,0.45,0.5,-0.021944413498531316
0.05,0.5,0.45,-0.021779583344835787
0.05,0.55,0.4,-0.02162042088490257
0.05,0.6,0.35,-0.021467418856777092
0.05,0.65,0.3,-0.021320189319638624
0.05,0.7,0.25,-0.021178395352299585
0.05,0.75,0.2,-0.02104204712288401
0.05,0.8,0.15,-0.020911585015512896
0.05,0.85,0.1,-0.020786826330636655
0.05,0.9,0.05,-0.020667486014789974
0.05,0.95,0.0,-0.020553586556092636
0.1,0.0,0.9,-0.022140726075507752
0.1,0.05,0.85,-0.02192813476405274
0.1,0.1,0.8,-0.021721036629352288
0.1,0.15,0.75,-0.021519871969840645
0.1,0.2,0.7,-0.021324197164962595
0.1,0.25,0.65,-0.021133940546097397
0.1,0.3,0.6,-0.02094961821625399
0.1,0.35,0.55,-0.020771271669572475
0.1,0.4,0.5,-0.020598807854650923
0.1,0.45,0.45,-0.020432250789973953
0.1,0.5,0.4,-0.020271419785642626
0.1,0.55,0.35,-0.02011642297076878
0.1,0.6,0.3,-0.01996723221121106
0.1,0.65,0.25,-0.019823759571346612
0.1,0.7,0.2,-0.01968600517058576
0.1,0.75,0.15,-0.019554140270186277
0.1,0.8,0.1,-0.019427981610720287
0.1,0.85,0.05,-0.019307667276507578
0.1,0.9,0.0,-0.019193155619025175
0.15,0.0,0.85,-0.020664437975848247
0.15,0.05,0.8,-0.020454355127590817
0.15,0.1,0.75,-0.020250022766627147
0.15,0.15,0.7,-0.020051488045664454
0.15,0.2,0.65,-0.01985874579516621
0.15,0.25,0.6,-0.019671720002660452
0.15,0.3,0.55,-0.019490471669159633
0.15,0.35,0.5,-0.019315011479749664
0.15,0.4,0.45,-0.019145687436215534
0.15,0.45,0.4,-0.018982567428245736
0.15,0.5,0.35,-0.01882558279132726
0.15,0.55,0.3,-0.01867467680423659
0.15,0.6,0.25,-0.018529759479808627
0.15,0.65,0.2,-0.01839068633632327
0.15,0.7,0.15,-0.01825756891400759
0.15,0.75,0.1,-0.018130535315183237
0.15,0.8,0.05,-0.018009459109158837
0.15,0.85,0.0,-0.017894447271633532
0.2,0.0,0.8,-0.019251135818516927
0.2,0.05,0.75,-0.019043502030364038
0.2,0.1,0.7,-0.018841667130043795
0.2,0.15,0.65,-0.018646004681926665
0.2,0.2,0.6,-0.01845649508100116
0.2,0.25,0.55,-0.01827302030656038
0.2,0.3,0.5,-0.018095307652775356
0.2,0.35,0.45,-0.017923599692702567
0.2,0.4,0.4,-0.017757855115930088
0.2,0.45,0.35,-0.017598596316598162
0.2,0.5,0.3,-0.017445668091724417
0.2,0.55,0.25,-0.017298834991229726
0.2,0.6,0.2,-0.017158219617567323
0.2,0.65,0.15,-0.017023723067317167
0.2,0.7,0.1,-0.016895506856716442
