stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.04489479868411344
0.0,0.05,0.95,-0.04479402316197794
0.0,0.1,0.9,-0.04469463547263297
0.0,0.15,0.85,-0.04459654875935623
0.0,0.2,0.8,-0.04449983097369093
0.0,0.25,0.75,-0.04440454067833123
0.0,0.3,0.7,-0.04431067956350495
0.0,0.35,0.65,-0.04421825906637448
0.0,0.4,0.6,-0.044127346377581256
0.0,0.45,0.55,-0.04403795058180091
0.0,0.5,0.5,-0.043950176177542426
0.0,0.55,0.45,-0.043863977726305535
0.0,0.6,0.4,-0.04377930483933757
0.0,0.65,0.35,-0.04369618355750281
0.0,0.7,0.3,-0.0436146096051928
0.0,0.75,0.25,-0.04353466522512603
0.0,0.8,0.2,-0.04345634247823002
0.0,0.85,0.15,-0.04337965160834061
0.0,0.9,0.1,-0.043304571485345174
0.0,0.95,0.05,-0.043231026757908846
0.0,1.0,0.0,-0.043159052146346376
0.05,0.0,0.95,-0.04418556609924627
0.05,0.05,0.9,-0.04408470937336573
0.05,0.1,0.85,-0.043985349421064114
0.05,0.15,0.8,-0.04388742592699279
0.05,0.2,0.75,-0.04379099563605991
0.05,0.25,0.7,-0.043696003614787746
0.05,0.3,0.65,-0.043602606908727415
0.05,0.35,0.6,-0.04351080816353953
0.05,0.4,0.55,-0.04342060513548178
0.05,0.45,0.5,-0.04333194318361188
0.05,0.5,0.45,-0.04324491534432223
0.05,0.55,0.4,-0.04315945264360029
0.05,0.6,0.35,-0.043075639354483254
0.05,0.65,0.3,-0.042993403655352445
0.05,0.7,0.25,-0.042912901344830584
0.05,0.75,0.2,-0.04283401495053549
0.05,0.8,0.15,-0.04275686803273068
0.05,0.85,0.1,-0.042681489030923635
0.05,0.9,0.05,-0.0426077425154046
0.05,0.95,0.0,-0.042535630151497285
0.1,0.0,0.9,-0.04349417822792952
0.1,0.05,0.85,-0.043393575126881224
0.1,0.1,0.8,-0.043294493170915174
0.1,0.15,0.75,-0.04319699213270716
0.1,0.2,0.7,-0.04310105177179407
0.1,0.25,0.65,-0.04300677299970122
0.1,0.3,0.6,-0.04291415275708531
0.1,0.35,0.55,-0.04282321339658845
0.1,0.4,0.5,-0.04273394879993595
0.1,0.45,0.45,-0.04264633649560815
0.1,0.5,0.4,-0.04256033932155321
0.1,0.55,0.35,-0.04247609437985724
0.1,0.6,0.3,-0.042393475127792055
