stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.05144777457686167
0.0,0.05,0.95,-0.051375055685042866
0.0,0.1,0.9,-0.05130312444654285
0.0,0.15,0.85,-0.05123201270534239
0.0,0.2,0.8,-0.051161689286602724
0.0,0.25,0.75,-0.051092191015996345
0.0,0.3,0.7,-0.051023550953285625
0.0,0.35,0.65,-0.05095577470523885
0.0,0.4,0.6,-0.050888821206447866
0.0,0.45,0.55,-0.05082273978006458
0.0,0.5,0.5,-0.05075755514238195
0.0,0.55,0.45,-0.050693303026633274
0.0,0.6,0.4,-0.05062996073422249
0.0,0.65,0.35,-0.050567580046572067
0.0,0.7,0.3,-0.050506103737910577
0.0,0.75,0.25,-0.05044558570190207
0.0,0.8,0.2,-0.0503859441472446
0.0,0.85,0.15,-0.050327269863592976
0.0,0.9,0.1,-0.050269528427212086
0.0,0.95,0.05,-0.050212711935123146
0.0,1.0,0.0,-0.05015682609993879
0.05,0.0,0.95,-0.05093524265538752
0.05,0.05,0.9,-0.050862569400681575
0.05,0.1,0.85,-0.050790879673350636
0.05,0.15,0.8,-0.05072001159600989
0.05,0.2,0.75,-0.05065000584568539
0.05,0.25,0.7,-0.0505809114089424
0.05,0.3,0.65,-0.05051269133709822
0.05,0.35,0.6,-0.05044533469255273
0.05,0.4,0.55,-0.05037884073451313
0.05,0.45,0.5,-0.05031325941211351
0.05,0.5,0.45,-0.05024860704450394
0.05,0.55,0.4,-0.05018486269476939
0.05,0.6,0.35,-0.05012205915403999
0.05,0.65,0.3,-0.05006018750718308
0.05,0.7,0.25,-0.04999931833228816
0.05,0.75,0.2,-0.049939436219101616
0.05,0.8,0.15,-0.04988052019738111
0.05,0.85,0.1,-0.049822591238935884
0.05,0.9,0.05,-0.049765671811085155
0.05,0.95,0.0,-0.04970972479034804
0.1,0.0,0.9,-0.050434441896425326
0.1,0.05,0.85,-0.05036212345915587
0.1,0.1,0.8,-0.05029060942750778
0.1,0.15,0.75,-0.05021994343041576
0.1,0.2,0.7,-0.05015019803410478
0.1,0.25,0.65,-0.05008159907665985
0.1,0.3,0.6,-0.05001390739919514
0.1,0.35,0.55,-0.04994716038169236
0.1,0.4,0.5,-0.049881355024981484
0.1,0.45,0.45,-0.04981647903264602
0.1,0.5,0.4,-0.04975255187910212
0.1,0.55,0.35,-0.049689606754018886
0.1,0.6,0.3,-0.04962764507980905
0.1,0.65,0.25,-0.04956660413934043
0.1,0.7,0.2,-0.04950657634497171
0.1,0.75,0.15,-0.04944756406067946
0.1,0.8,0.1,-0.04938951745693464
0.1,0.85,0.05,-0.04933242748922237
0.1,0.9,0.0,-0.04927626667389935
0.15,0.0,0.85,-0.04994453614156378
0.15,0.05,0.8,-0.04987272191747605
0.15,0.1,0.75,-0.04980175996097528
