stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.019281779490451827
0.0,0.05,0.95,-0.01901605984852251
0.0,0.1,0.9,-0.018757115535564955
0.0,0.15,0.85,-0.018504402281737085
0.0,0.2,0.8,-0.018258265470035718
0.0,0.25,0.75,-0.018019142880644785
0.0,0.3,0.7,-0.01778688586673454
0.0,0.35,0.65,-0.017562014192624802
0.0,0.4,0.6,-0.017344382465864897
0.0,0.45,0.55,-0.017134567969271076
0.0,0.5,0.5,-0.01693364648541942
0.0,0.55,0.45,-0.016740829867904223
0.0,0.6,0.4,-0.016556082046647724
0.0,0.65,0.35,-0.016379368654239012
0.0,0.7,0.3,-0.016210640833024013
0.0,0.75,0.25,-0.016049467715266916
0.0,0.8,0.2,-0.015895782880993543
0.0,0.85,0.15,-0.01574993269757915
0.0,0.9,0.1,-0.015611398678386776
0.0,0.95,0.05,-0.015480065312739795
0.0,1.0,0.0,-0.015355997281322444
0.05,0.0,0.95,-0.017261356144707262
0.05,0.05,0.9,-0.016996040485907336
0.05,0.1,0.85,-0.016737475292254212
0.05,0.15,0.8,-0.01648574157467924
0.05,0.2,0.75,-0.016241403732850927
0.05,0.25,0.7,-0.016004394286850313
0.05,0.3,0.65,-0.015775864087980356
0.05,0.35,0.6,-0.015555610003531273
0.05,0.4,0.55,-0.015343521602299195
0.05,0.45,0.5,-0.01513893151981009
0.05,0.5,0.45,-0.014942395579614392
0.05,0.55,0.4,-0.014754056228025305
0.05,0.6,0.35,-0.014574764208863732
0.05,0.65,0.3,-0.014403810707769716
0.05,0.7,0.25,-0.014240359635722902
0.05,0.75,0.2,-0.014084584453038458
0.05,0.8,0.15,-0.013937115996197144
0.05,0.85,0.1,-0.013797615157365137
0.05,0.9,0.05,-0.013665656194575819
0.05,0.95,0.0,-0.013541286749903788
0.1,0.0,0.9,-0.015318206897323
0.1,0.05,0.85,-0.01505380441288014
0.1,0.1,0.8,-0.014797268041128762
0.1,0.15,0.75,-0.014549363809550494
0.1,0.2,0.7,-0.014309243099985682
0.1,0.25,0.65,-0.014076705243215148
0.1,0.3,0.6,-0.013852606181535372
0.1,0.35,0.55,-0.013636954587561036
0.1,0.4,0.5,-0.013429615802684656
0.1,0.45,0.45,-0.013230761385027266
0.1,0.5,0.4,-0.013040043426411855
0.1,0.55,0.35,-0.012857578867748354
0.1,0.6,0.3,-0.012683474602361675
0.1,0.65,0.25,-0.012517380999463161
0.1,0.7,0.2,-0.01235925332703014
0.1,0.75,0.15,-0.012209586378780883
0.1,0.8,0.1,-0.012068085343171487
0.1,0.85,0.05,-0.01193493101491271
0.1,0.9,0.0,-0.011810040315825466
0.15,0.0,0.85,-0.013458816769709479
0.15,0.05,0.8,-0.013197835359357741
0.15,0.1,0.75,-0.012945133462101474
0.15,0.15,0.7,-0.012700858689095602
0.15,0.2,0.65,-0.01246492564215385
0.15,0.25,0.6,-0.012237191531833917
0.15,0.3,0.55,-0.0120176118173651
