stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.030701386765729137
0.0,0.05,0.95,-0.030524814111810405
0.0,0.1,0.9,-0.030351833479130605
0.0,0.15,0.85,-0.030182195386567294
0.0,0.2,0.8,-0.030016045805224097
0.0,0.25,0.75,-0.029853599751249144
0.0,0.3,0.7,-0.029694794247931026
0.0,0.35,0.65,-0.02953978521609605
0.0,0.4,0.6,-0.029388632572924074
0.0,0.45,0.55,-0.029241467919948274
0.0,0.5,0.5,-0.02909866892179934
0.0,0.55,0.45,-0.02895996328279677
0.0,0.6,0.4,-0.028825288377208037
0.0,0.65,0.35,-0.02869467346623454
0.0,0.7,0.3,-0.028568113669835346
0.0,0.75,0.25,-0.028445635735726615
0.0,0.8,0.2,-0.028327171893861514
0.0,0.85,0.15,-0.02821279567217879
0.0,0.9,0.1,-0.028102388684005837
0.0,0.95,0.05,-0.02799586433411912
0.0,1.0,0.0,-0.027893224605656984
0.05,0.0,0.95,-0.02940850043765307
0.05,0.05,0.9,-0.029232172356020644
0.05,0.1,0.85,-0.029059431560874625
0.05,0.15,0.8,-0.028890358143712134
0.05,0.2,0.75,-0.028725185824069677
0.05,0.25,0.7,-0.02856380801784566
0.05,0.3,0.65,-0.028406718463345106
0.05,0.35,0.6,-0.02825386345245448
0.05,0.4,0.55,-0.028105178153625086
0.05,0.45,0.5,-0.027960452057834196
0.05,0.5,0.45,-0.02781989212086975
0.05,0.55,0.4,-0.027683465196741374
0.05,0.6,0.35,-0.027551488004419717
0.05,0.65,0.3,-0.02742371473331452
0.05,0.7,0.25,-0.027300036278519367
0.05,0.75,0.2,-0.027180393845133256
0.05,0.8,0.15,-0.027065119294327183
0.05,0.85,0.1,-0.026954122798489244
0.05,0.9,0.05,-0.026847174757030513
0.05,0.95,0.0,-0.026744289198013495
0.1,0.0,0.9,-0.028157652423902897
0.1,0.05,0.85,-0.02798196130179961
0.1,0.1,0.8,-0.02781029132397341
0.1,0.15,0.75,-0.02764292053246725
0.1,0.2,0.7,-0.02747959554103995
0.1,0.25,0.65,-0.027320299599806433
0.1,0.3,0.6,-0.027165356046203414
0.1,0.35,0.55,-0.02701481156556866
0.1,0.4,0.5,-0.026868608270482316
0.1,0.45,0.45,-0.026726726264942834
0.1,0.5,0.4,-0.026589053921343923
0.1,0.55,0.35,-0.026455724517734345
0.1,0.6,0.3,-0.026326639347938226
0.1,0.65,0.25,-0.026201801331970226
0.1,0.7,0.2,-0.02608123265176851
0.1,0.75,0.15,-0.025964969281816245
0.1,0.8,0.1,-0.02585290531820521
0.1,0.85,0.05,-0.02574514502209186
0.1,0.9,0.0,-0.02564165089192123
0.15,0.0,0.85,-0.026951223107869675
0.15,0.05,0.8,-0.026777436435443808
0.15,0.1,0.75,-0.026607834322994725
0.15,0.15,0.7,-0.026442436665002587
0.15,0.2,0.65,-0.0262812559211811
0.15,0.25,0.6,-0.02612425434119657
0.15,0.3,0.55,-0.025971515427929075
0.15,0.35,0.5,-0.025823042631932233
0.15,0.4,0.45,-0.025679135443524032
0.15,0.45,0.4,-0.02553981571846555
0.15,0.5,0.35,-0.0254050749139443
0.15,0.55,0.3,-0.02527482070729007
0.15,0.6,0.25,-0.025148974031339616
0.15,0.65,0.2,-0.025027393089388256
0.15,0.7,0.15,-0.024910174830131415
0.15,0.75,0.1,-0.024797411313670942
0.15,0.8,0.05,-0.024689046506469782
0.15,0.85,0.0,-0.02458513041659656
0.2,0.0,0.8,-0.02579169752840674
0.2,0.05,0.75,-0.02561975922287978
0.2,0.1,0.7,-0.02545204390624429
0.2,0.15,0.65,-0.02528876035732765
0.2,0.2,0.6,-0.025129917464104267
0.2,0.25,0.55,-0.02497549603507299
0.2,0.3,0.5,-0.024825418389864077
0.2,0.35,0.45,-0.024679788348822413
0.2,0.4,0.4,-0.024538579981941505
0.2,0.45,0.35,-0.024402061618696985
0.2,0.5,0.3,-0.02427019383940936
0.2,0.55,0.25,-0.024142849883247487
0.2,0.6,0.2,-0.02402011803994009
0.2,0.65,0.15,-0.023901860743621408
0.2,0.7,0.1,-0.023788262131484588
0.2,0.75,0.05,-0.023679232602828344
0.2,0.8,0.0,-0.02357464082407331
0.25,0.0,0.75,-0.024679104166780264
0.25,0.05,0.7,-0.0245091668616069
0.25,0.1,0.65,-0.024343800668728686
0.25,0.15,0.6,-0.024182969242169085
0.25,0.2,0.55,-0.024026808509197316
0.25,0.25,0.5,-0.023875007323967423
0.25,0.3,0.45,-0.02372768210426708
0.25,0.35,0.4,-0.023584691272947055
