stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.05871664354966372
0.0,0.05,0.95,-0.05866648428644156
0.0,0.1,0.9,-0.058616674149297936
0.0,0.15,0.85,-0.05856719472919764
0.0,0.2,0.8,-0.058518076262731124
0.0,0.25,0.75,-0.05846932066901204
0.0,0.3,0.7,-0.0584209356687078
0.0,0.35,0.65,-0.058372926317053465
0.0,0.4,0.6,-0.05832531622391719
0.0,0.45,0.55,-0.05827811148234708
0.0,0.5,0.5,-0.05823134237065346
0.0,0.55,0.45,-0.05818498293645273
0.0,0.6,0.4,-0.058139007098124064
0.0,0.65,0.35,-0.05809342654619163
0.0,0.7,0.3,-0.058048246757783445
0.0,0.75,0.25,-0.05800349609517069
0.0,0.8,0.2,-0.05795918077119112
0.0,0.85,0.15,-0.057915336096000226
0.0,0.9,0.1,-0.05787192090690995
0.0,0.95,0.05,-0.057828903484924116
0.0,1.0,0.0,-0.057786300675437226
0.05,0.0,0.95,-0.05836450744280337
0.05,0.05,0.9,-0.0583141296738603
0.05,0.1,0.85,-0.058264273555604
0.05,0.15,0.8,-0.05821478912134415
0.05,0.2,0.75,-0.058165671848725016
0.05,0.25,0.7,-0.058116908986184164
0.05,0.3,0.65,-0.05806852116042605
0.05,0.35,0.6,-0.058020531395609545
0.05,0.4,0.55,-0.05797297363787634
0.05,0.45,0.5,-0.05792581237917731
0.05,0.5,0.45,-0.0578790920223614
0.05,0.55,0.4,-0.057832765859964254
0.05,0.6,0.35,-0.05778684211248381
0.05,0.65,0.3,-0.057741301651009956
0.05,0.7,0.25,-0.05769632376928262
0.05,0.75,0.2,-0.057651814924452024
0.05,0.8,0.15,-0.057607773315076514
0.05,0.85,0.1,-0.05756422859877374
0.05,0.9,0.05,-0.05752112978674869
0.05,0.95,0.0,-0.05747847483658545
0.1,0.0,0.9,-0.05801849137099455
0.1,0.05,0.85,-0.05796815951197685
0.1,0.1,0.8,-0.05791820276676086
0.1,0.15,0.75,-0.05786861369842978
0.1,0.2,0.7,-0.05781942331490579
0.1,0.25,0.65,-0.05777080236871058
0.1,0.3,0.6,-0.057722603585023465
0.1,0.35,0.55,-0.05767482593443315
0.1,0.4,0.5,-0.05762747064636319
0.1,0.45,0.45,-0.0575805409376475
0.1,0.5,0.4,-0.05753401776293082
0.1,0.55,0.35,-0.05748797135283138
0.1,0.6,0.3,-0.05744235857870798
0.1,0.65,0.25,-0.057397221709339086
0.1,0.7,0.2,-0.05735256919448994
0.1,0.75,0.15,-0.05730833883718621
0.1,0.8,0.1,-0.05726456192001648
0.1,0.85,0.05,-0.05722121797448387
0.1,0.9,0.0,-0.05717826715219856
0.15,0.0,0.85,-0.057677417586671414
0.15,0.05,0.8,-0.057627274380083846
0.15,0.1,0.75,-0.05757749349562713
0.15,0.15,0.7,-0.057528103915707944
0.15,0.2,0.65,-0.05747909831227763
0.15,0.25,0.6,-0.057430493758045195
0.15,0.3,0.55,-0.057382343706667234
0.15,0.35,0.5,-0.05733460435927832
0.15,0.4,0.45,-0.05728750292770397
0.15,0.45,0.4,-0.05724088516435143
0.15,0.5,0.35,-0.05719479320372922
0.15,0.55,0.3,-0.05714915216222221
0.15,0.6,0.25,-0.05710396719850481
