stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.051471315079438015
0.0,0.05,0.95,-0.05139738293345948
0.0,0.1,0.9,-0.051324223738970665
0.0,0.15,0.85,-0.05125179164099366
0.0,0.2,0.8,-0.05118013467170202
0.0,0.25,0.75,-0.05110927438442643
0.0,0.3,0.7,-0.05103922044302316
0.0,0.35,0.65,-0.050969971882773434
0.0,0.4,0.6,-0.05090157476677302
0.0,0.45,0.55,-0.050834029050422766
0.0,0.5,0.5,-0.05076739012647996
0.0,0.55,0.45,-0.0507016392642286
0.0,0.6,0.4,-0.050636737349806914
0.0,0.65,0.35,-0.050572703857364246
0.0,0.7,0.3,-0.05050953894307279
0.0,0.75,0.25,-0.05044730269577727
0.0,0.8,0.2,-0.05038599818173977
0.0,0.85,0.15,-0.050325643986584435
0.0,0.9,0.1,-0.05026621345461992
0.0,0.95,0.05,-0.05020764919912844
0.0,1.0,0.0,-0.05014998356923841
0.05,0.0,0.95,-0.05095627335944281
0.05,0.05,0.9,-0.05088216067632168
0.05,0.1,0.85,-0.05080897228385843
0.05,0.15,0.8,-0.05073659219629853
0.05,0.2,0.75,-0.05066503733354213
0.05,0.25,0.7,-0.05059427583018813
0.05,0.3,0.65,-0.05052438176269165
0.05,0.35,0.6,-0.050455370208803633
0.05,0.4,0.55,-0.05038726114398189
0.05,0.45,0.5,-0.05032001714501432
0.05,0.5,0.45,-0.05025370455278864
0.05,0.55,0.4,-0.050188261801551476
0.05,0.6,0.35,-0.05012372521151795
0.05,0.65,0.3,-0.05006005620935664
0.05,0.7,0.25,-0.0499974426618745
0.05,0.75,0.2,-0.049935771811700475
0.05,0.8,0.15,-0.04987509691639295
0.05,0.85,0.1,-0.049815457423668774
0.05,0.9,0.05,-0.04975675860520636
0.05,0.95,0.0,-0.04969899893262852
0.1,0.0,0.9,-0.050452222893374435
0.1,0.05,0.85,-0.05037824127558477
0.1,0.1,0.8,-0.050305098900378986
0.1,0.15,0.75,-0.05023281144265577
0.1,0.2,0.7,-0.05016139683599683
0.1,0.25,0.65,-0.05009099991856915
0.1,0.3,0.6,-0.050021526857862535
0.1,0.35,0.55,-0.04995298620332482
0.1,0.4,0.5,-0.04988537929999671
0.1,0.45,0.45,-0.04981869819255499
0.1,0.5,0.4,-0.04975291739320448
0.1,0.55,0.35,-0.049688146477472876
0.1,0.6,0.3,-0.04962429308900351
0.1,0.65,0.25,-0.04956141807140888
0.1,0.7,0.2,-0.04949954348189603
0.1,0.75,0.15,-0.049438588463709084
0.1,0.8,0.1,-0.049378580018713675
0.1,0.85,0.05,-0.04931951718553231
0.1,0.9,0.0,-0.04926135094968305
0.15,0.0,0.85,-0.04995839464801154
0.15,0.05,0.8,-0.04988484720750389
0.15,0.1,0.75,-0.04981214045510069
0.15,0.15,0.7,-0.04974029748205449
0.15,0.2,0.65,-0.049669316491630144
0.15,0.25,0.6,-0.04959921547194627
0.15,0.3,0.55,-0.04953006103576748
0.15,0.35,0.5,-0.04946181384561077
0.15,0.4,0.45,-0.0493947323655129
0.15,0.45,0.4,-0.049328685654674874
0.15,0.5,0.35,-0.04926372777935008
0.15,0.55,0.3,-0.049199751101504825
0.15,0.6,0.25,-0.04913674103314325
0.15,0.65,0.2,-0.04907464176766946
0.15,0.7,0.15,-0.049013472461172464
0.15,0.75,0.1,-0.04895323464892077
0.15,0.8,0.05,-0.04889394630439886
0.15,0.85,0.0,-0.04883561304847389
0.2,0.0,0.8,-0.04947547183198477
0.2,0.05,0.75,-0.04940236383318357
0.2,0.1,0.7,-0.04933013246074818
0.2,0.15,0.65,-0.049258773528311726
0.2,0.2,0.6,-0.049188310975740494
0.2,0.25,0.55,-0.04911881097479572
0.2,0.3,0.5,-0.04905035871921122
0.2,0.35,0.45,-0.048982914561940774
0.2,0.4,0.4,-0.04891644325651971
0.2,0.45,0.35,-0.04885091620913934
0.2,0.5,0.3,-0.04878639104107832
0.2,0.55,0.25,-0.048722990386373156
0.2,0.6,0.2,-0.048660585015444756
0.2,0.65,0.15,-0.04859911040168377
0.2,0.7,0.1,-0.04853866731634851
0.2,0.75,0.05,-0.048479131832109716
0.2,0.8,0.0,-0.04842051519031419
0.25,0.0,0.75,-0.049003447131578566
0.25,0.05,0.7,-0.04893086036207252
0.25,0.1,0.65,-0.048859256026513774
0.25,0.15,0.6,-0.048788626366985534
0.25,0.2,0.55,-0.048718957374931086
0.25,0.25,0.5,-0.04865018459036062
0.25,0.3,0.45,-0.04858236519831558
0.25,0.35,0.4,-0.0485154868219778
0.25,0.4,0.35,-0.04844955947299022
0.25,0.45,0.3,-0.04838460824623319
0.25,0.5,0.25,-0.048320615114970225
0.25,0.55,0.2,-0.048257604770946615
0.25,0.6,0.15,-0.048195580125829904
0.25,0.65,0.1,-0.04813455594130828
0.25,0.7,0.05,-0.04807475600209783
0.25,0.75,0.0,-0.04801596574039604
0.3,0.0,0.7,-0.04854290292695477
0.3,0.05,0.65,-0.04847087599503871
0.3,0.1,0.6,-0.04839977197184278
0.3,0.15,0.55,-0.048329682937917506
0.3,0.2,0.5,-0.04826053804760668
0.3,0.25,0.45,-0.04819234192746595
0.3,0.3,0.4,-0.04812508322352062
0.3,0.35,0.35,-0.04805875076141765
0.3,0.4,0.3,-0.047993342254636
0.3,0.45,0.25,-0.047928879990311805
0.3,0.5,0.2,-0.04786544910983908
0.3,0.55,0.15,-0.04780307047398384
0.3,0.6,0.1,-0.047741732152445204
0.3,0.65,0.05,-0.047681541752593766
0.3,0.7,0.0,-0.04762237889323427
0.35,0.0,0.65,-0.04809357720361414
0.35,0.05,0.6,-0.0480219690386439
0.35,0.1,0.55,-0.047951253254674565
0.35,0.15,0.5,-0.047881480272152534
0.35,0.2,0.45,-0.04781271982031994
0.35,0.25,0.4,-0.04774495273076936
0.35,0.3,0.35,-0.04767819600493562
0.35,0.35,0.3,-0.04761248855075834
0.35,0.4,0.25,-0.04754777838244357
0.35,0.45,0.2,-0.04748412705271368
0.35,0.5,0.15,-0.04742154523917402
0.35,0.55,0.1,-0.04735999702300481
0.35,0.6,0.05,-0.047299434336019096
0.35,0.65,0.0,-0.047239976079488294
0.4,0.0,0.6,-0.04765522736653322
0.4,0.05,0.55,-0.04758407882412878
0.4,0.1,0.5,-0.047513852481520555
0.4,0.15,0.45,-0.047444593694613214
0.4,0.2,0.4,-0.047376335080495616
0.4,0.25,0.35,-0.04730910070600412
0.4,0.3,0.3,-0.04724290060877215
0.4,0.35,0.25,-0.047177753718857164
0.4,0.4,0.2,-0.04711371025593098
0.4,0.45,0.15,-0.047050859053297533
0.4,0.5,0.1,-0.04698905794539114
0.4,0.55,0.05,-0.046928307252170634
0.4,0.6,0.0,-0.046868656536471064
0.45,0.0,0.55,-0.04722766129729275
0.45,0.05,0.5,-0.04715719777330983
0.45,0.1,0.45,-0.04708770241149169
0.45,0.15,0.4,-0.04701924210220215
0.45,0.2,0.35,-0.04695178651981737
0.45,0.25,0.3,-0.046885341759236074
0.45,0.3,0.25,-0.046819919933244566
0.45,0.35,0.2,-0.04675552713807512
0.45,0.4,0.15,-0.046692227121500146
0.45,0.45,0.1,-0.04663001439427974
0.45,0.5,0.05,-0.046568881439759756
0.45,0.55,0.0,-0.046508903205297276
0.5,0.0,0.5,-0.046812799697921376
0.5,0.05,0.45,-0.04674309933326155
0.5,0.1,0.4,-0.04667433275069048
0.5,0.15,0.35,-0.046606600825021736
0.5,0.2,0.3,-0.04653987914597077
0.5,0.25,0.25,-0.04647428863246337
0.5,0.3,0.2,-0.04640974805484957
0.5,0.35,0.15,-0.046346255169118396
0.5,0.4,0.1,-0.04628386063017856
0.5,0.45,0.05,-0.04622254454403556
0.5,0.5,0.0,-0.0461623256347382
0.55,0.0,0.45,-0.04640992473877597
0.55,0.05,0.4,-0.04634097525035713
0.55,0.1,0.35,-0.046273079161838225
0.55,0.15,0.3,-0.046206208491310186
0.55,0.2,0.25,-0.04614039602931377
0.55,0.25,0.2,-0.0460756926780857
0.55,0.3,0.15,-0.046012128877839426
0.55,0.35,0.1,-0.04594963437024653
0.55,0.4,0.05,-0.04588821516398931
0.55,0.45,0.0,-0.04582792730555406
0.6,0.0,0.4,-0.046018124389878345
0.6,0.05,0.35,-0.04595000909767232
0.6,0.1,0.3,-0.045882993782348794
0.6,0.15,0.25,-0.04581706455192952
0.6,0.2,0.2,-0.045752219811341796
0.6,0.25,0.15,-0.04568844549787236
0.6,0.3,0.1,-0.045625786733549646
0.6,0.35,0.05,-0.045564324748797284
0.6,0.4,0.0,-0.045504051895232066
0.65,0.0,0.35,-0.04563762434479612
0.65,0.05,0.3,-0.04557051429375793
0.65,0.1,0.25,-0.045504490529658576
0.65,0.15,0.2,-0.045439515000375026
0.65,0.2,0.15,-0.04537570152213301
0.65,0.25,0.1,-0.04531303412267756
0.65,0.3,0.05,-0.04525157019830605
0.65,0.35,0.0,-0.04519124403260044
0.7,0.0,0.3,-0.0452691161423004
0.7,0.05,0.25,-0.045202905287939125
0.7,0.1,0.2,-0.04513778766196427
0.7,0.15,0.15,-0.04507384902953566
0.7,0.2,0.1,-0.04501102364492986
0.7,0.25,0.05,-0.04494938133630291
0.7,0.3,0.0,-0.04488883673654516
0.75,0.0,0.25,-0.044912273820065865
0.75,0.05,0.2,-0.044847046492841484
0.75,0.1,0.15,-0.04478293552531661
0.75,0.15,0.1,-0.0447199316590408
0.75,0.2,0.05,-0.04465804320438009
0.75,0.25,0.0,-0.04459735623751525
0.8,0.0,0.2,-0.044567294558034244
0.8,0.05,0.15,-0.04450311520964146
0.8,0.1,0.1,-0.04444004721352044
0.8,0.15,0.05,-0.044378097747596934
0.8,0.2,0.0,-0.044317342815352184
0.85,0.0,0.15,-0.044234867419577675
0.85,0.05,0.1,-0.04417181433439421
0.85,0.1,0.05,-0.04410982467452622
0.85,0.15,0.0,-0.044048959458419766
0.9,0.0,0.1,-0.043917690409113225
0.9,0.05,0.05,-0.043855633375726594
0.9,0.1,0.0,-0.04379474328457411
0.95,0.0,0.05,-0.043613509774967446
0.95,0.05,0.0,-0.04355236691435973
1.0,0.0,0.0,-0.04332226991549266
