stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.05677301974572852
0.0,0.05,0.95,-0.05671707611997567
0.0,0.1,0.9,-0.05666157171058179
0.0,0.15,0.85,-0.05660648228182244
0.0,0.2,0.8,-0.056551842566241295
0.0,0.25,0.75,-0.05649765792948146
0.0,0.3,0.7,-0.056443937296462
0.0,0.35,0.65,-0.05639068302318968
0.0,0.4,0.6,-0.05633792398668437
0.0,0.45,0.55,-0.05628566360110132
0.0,0.5,0.5,-0.05623393691748853
0.0,0.55,0.45,-0.0561827225287388
0.0,0.6,0.4,-0.05613199095820753
0.0,0.65,0.35,-0.05608175595967204
0.0,0.7,0.3,-0.05603202180637811
0.0,0.75,0.25,-0.05598282512643367
0.0,0.8,0.2,-0.0559341717578187
0.0,0.85,0.15,-0.05588609274717963
0.0,0.9,0.1,-0.0558385505434203
0.0,0.95,0.05,-0.05579150637563364
0.0,1.0,0.0,-0.05574498211182213
0.05,0.0,0.95,-0.056382179142110266
0.05,0.05,0.9,-0.05632601869766346
0.05,0.1,0.85,-0.0562704676840357
0.05,0.15,0.8,-0.05621538161451448
0.05,0.2,0.75,-0.056160759745210564
0.05,0.25,0.7,-0.05610658496013898
0.05,0.3,0.65,-0.056052888920822885
0.05,0.35,0.6,-0.055999693006495016
0.05,0.4,0.55,-0.055947028652691536
0.05,0.45,0.5,-0.05589486070007499
0.05,0.5,0.45,-0.05584323887677198
0.05,0.55,0.4,-0.05579211223480846
0.05,0.6,0.35,-0.055741494589165316
0.05,0.65,0.3,-0.05569136282794473
0.05,0.7,0.25,-0.05564190236129541
0.05,0.75,0.2,-0.055593013315386575
0.05,0.8,0.15,-0.05554470605084711
0.05,0.85,0.1,-0.0554970145036769
0.05,0.9,0.05,-0.05544987641482466
0.05,0.95,0.0,-0.055403289511278674
0.1,0.0,0.9,-0.055998516916423616
0.1,0.05,0.85,-0.05594242003197301
0.1,0.1,0.8,-0.055886796266991334
0.1,0.15,0.75,-0.05583164235482954
0.1,0.2,0.7,-0.055776988004579864
0.1,0.25,0.65,-0.055723000263672176
0.1,0.3,0.6,-0.055669540948391154
0.1,0.35,0.55,-0.0556166108914144
0.1,0.4,0.5,-0.055564211986006466
0.1,0.45,0.45,-0.055512345356554624
0.1,0.5,0.4,-0.055460990594742465
0.1,0.55,0.35,-0.055410228543147894
0.1,0.6,0.3,-0.05536000287997494
0.1,0.65,0.25,-0.05531036140020654
