stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,-0.040627718602087644
0.0,0.05,0.95,-0.04050682757756911
0.0,0.1,0.9,-0.04038785270366004
0.0,0.15,0.85,-0.04027067040245818
0.0,0.2,0.8,-0.040155365263384445
0.0,0.25,0.75,-0.04004203123484427
0.0,0.3,0.7,-0.03993065786831843
0.0,0.35,0.65,-0.03982127970664636
0.0,0.4,0.6,-0.03971397284376719
0.0,0.45,0.55,-0.039608764496592466
0.0,0.5,0.5,-0.03950581172428447
0.0,0.55,0.45,-0.03940502852857716
0.0,0.6,0.4,-0.039306358530767756
0.0,0.65,0.35,-0.039209831064816424
0.0,0.7,0.3,-0.03911544044604
0.0,0.75,0.25,-0.03902327252875492
0.0,0.8,0.2,-0.03893330626556303
0.0,0.85,0.15,-0.038845556038988996
0.0,0.9,0.1,-0.03875999227716606
0.0,0.95,0.05,-0.03867653239996067
0.0,1.0,0.0,-0.03859520560411255
0.05,0.0,0.95,-0.03976780001866599
0.05,0.05,0.9,-0.03964691555085502
0.05,0.1,0.85,-0.039528022256961455
0.05,0.15,0.8,-0.03941110258666143
0.05,0.2,0.75,-0.03929625169678521
0.05,0.25,0.7,-0.0391833980951178
0.05,0.3,0.65,-0.039072774105353876
0.05,0.35,0.6,-0.03896437068165945
0.05,0.4,0.55,-0.03885816788561826
0.05,0.45,0.5,-0.03875408564340108
0.05,0.5,0.45,-0.03865224025959748
0.05,0.55,0.4,-0.03855256408797967
0.05,0.6,0.35,-0.03845518874944153
0.05,0.65,0.3,-0.03836000852542787
0.05,0.7,0.25,-0.038267132739669966
0.05,0.75,0.2,-0.03817644958641778
0.05,0.8,0.15,-0.038088137024086845
0.05,0.85,0.1,-0.0380022030615678
0.05,0.9,0.05,-0.037918486053508234
0.05,0.95,0.0,-0.037836990651834296
0.1,0.0,0.9,-0.03893154975794843
0.1,0.05,0.85,-0.03881101934558675
0.1,0.1,0.8,-0.03869260158424611
0.1,0.15,0.75,-0.03857640085927655
0.1,0.2,0.7,-0.03846235304655719
0.1,0.25,0.65,-0.03835052560940453
0.1,0.3,0.6,-0.038240993933735964
0.1,0.35,0.55,-0.038133790051008525
0.1,0.4,0.5,-0.038028897887376276
0.1,0.45,0.45,-0.03792628747984335
0.1,0.5,0.4,-0.037825908583162995
0.1,0.55,0.35,-0.03772790741537428
0.1,0.6,0.3,-0.03763214784212943
0.1,0.65,0.25,-0.03753869329577961
0.1,0.7,0.2,-0.03744757811442266
0.1,0.75,0.15,-0.03735873246929333
0.1,0.8,0.1,-0.037272140659281125
0.1,0.85,0.05,-0.03718785094403927
0.1,0.9,0.0,-0.03710581770780848
0.15,0.0,0.85,-0.03811943904580442
0.15,0.05,0.8,-0.03799996686144591
0.15,0.1,0.75,-0.03788266420706813
0.15,0.15,0.7,-0.037767543109223735
0.15,0.2,0.65,-0.03765461504647193
0.15,0.25,0.6,-0.037543882497803736
0.15,0.3,0.55,-0.03743542946063988
0.15,0.35,0.5,-0.037329236831847204
0.15,0.4,0.45,-0.037225579090585936
0.15,0.45,0.4,-0.037124397057615915
0.15,0.5,0.35,-0.03702573588629136
0.15,0.55,0.3,-0.03692947398903523
0.15,0.6,0.25,-0.03683556121091981
0.15,0.65,0.2,-0.03674388989730595
0.15,0.7,0.15,-0.03665451768957063
0.15,0.75,0.1,-0.03656748459955347
0.15,0.8,0.05,-0.0364827999803824
0.15,0.85,0.0,-0.03640047258377695
0.2,0.0,0.8,-0.03733289341858604
0.2,0.05,0.75,-0.03721445353755595
0.2,0.1,0.7,-0.03709822051969431
0.2,0.15,0.65,-0.036984249023338786
0.2,0.2,0.6,-0.036872562918917204
0.2,0.25,0.55,-0.03676321389406451
0.2,0.3,0.5,-0.03665627605525049
0.2,0.35,0.45,-0.036551741302136016
0.2,0.4,0.4,-0.036449584050432006
0.2,0.45,0.35,-0.03634984467685681
0.2,0.5,0.3,-0.0362525697827435
0.2,0.55,0.25,-0.0361577819646337
0.2,0.6,0.2,-0.036065460905719444
0.2,0.65,0.15,-0.035975485642286545
0.2,0.7,0.1,-0.03588802127433176
0.2,0.75,0.05,-0.03580289846033816
0.2,0.8,0.0,-0.0357200965011432
0.25,0.0,0.75,-0.036571862142409366
0.25,0.05,0.7,-0.036454556370138766
0.25,0.1,0.65,-0.03633963956188673
0.25,0.15,0.6,-0.036227110423603666
0.25,0.2,0.55,-0.036117011806978995
0.25,0.25,0.5,-0.03600918785327032
0.25,0.3,0.45,-0.035903738154290356
0.25,0.35,0.4,-0.03580061232286917
0.25,0.4,0.35,-0.03569987066437945
0.25,0.45,0.3,-0.03560157740970681
0.25,0.5,0.25,-0.035505753655464975
0.25,0.55,0.2,-0.03541246754896716
0.25,0.6,0.15,-0.035321657941472885
0.25,0.65,0.1,-0.03523333718935768
0.25,0.7,0.05,-0.03514773941604596
0.25,0.75,0.0,-0.03506467571558416
0.3,0.0,0.7,-0.03583713261514733
0.3,0.05,0.65,-0.035721030586996265
0.3,0.1,0.6,-0.03560727655232684
