global_step,iteration,iteration_step,raw_objective_before_step,curvature_penalty_value_before_step,curvature_penalty_term_before_step,regularized_objective_before_step,objective_before_step,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,control_point_count,curvature_penalty_weight,curvature_huber_delta,smooth,smoothing_strength,smoothing_bandwidth
1,1,1,-0.01172332931941399,2.3727456914850746e-27,2.3727456914850746e-31,-0.01172332931941399,-0.01172332931941399,-0.010936822313399546,0.0073971847271017705,7.397184727101771e-07,-0.010937562031872256,-0.012899668803359294,-0.010937562031872256,3,0.0001,0.0001,True,0.2,10.0
2,1,2,-0.010936822313399546,0.0073971847271017705,7.397184727101771e-07,-0.010937562031872256,-0.010937562031872256,-0.010299739638423818,0.01433982254864689,1.433982254864689e-06,-0.010301173620678682,-0.012262586128383561,-0.010301173620678682,3,0.0001,0.0001,True,0.2,10.0
3,1,3,-0.010299739638423818,0.01433982254864689,1.433982254864689e-06,-0.010301173620678682,-0.010301173620678682,-0.00978747715896545,0.020779639908425455,2.0779639908425457e-06,-0.009789555122956293,-0.011750323648925181,-0.009789555122956293,3,0.0001,0.0001,True,0.2,10.0
4,1,4,-0.00978747715896545,0.020779639908425455,2.0779639908425457e-06,-0.009789555122956293,-0.009789555122956293,-0.009380379278030707,0.0267141984768912,2.6714198476891202e-06,-0.009383050697878396,-0.011343225767990447,-0.009383050697878396,3,0.0001,0.0001,True,0.2,10.0
5,1,5,-0.009380379278030707,0.0267141984768912,2.6714198476891202e-06,-0.009383050697878396,-0.009383050697878396,-0.009059172405137136,0.03213143502510148,3.2131435025101483e-06,-0.009062385548639647,-0.011022018895096892,-0.009062385548639647,3,0.0001,0.0001,True,0.2,10.0
6,1,6,-0.009059172405137136,0.03213143502510148,3.2131435025101483e-06,-0.009062385548639647,-0.009062385548639647,-0.00880956587361595,0.037012780247311264,3.7012780247311266e-06,-0.008813267151640682,-0.010772412363575672,-0.008813267151640682,3,0.0001,0.0001,True,0.2,10.0
7,1,7,-0.00880956587361595,0.037012780247311264,3.7012780247311266e-06,-0.008813267151640682,-0.008813267151640682,-0.00861808252038176,0.04132915671266474,4.132915671266474e-06,-0.008622215436053026,-0.010580929010341512,-0.008622215436053026,3,0.0001,0.0001,True,0.2,10.0
8,1,8,-0.00861808252038176,0.04132915671266474,4.132915671266474e-06,-0.008622215436053026,-0.008622215436053026,-0.008473659167923494,0.04482425142263062,4.482425142263063e-06,-0.008478141593065758,-0.010436505657883257,-0.008478141593065758,3,0.0001,0.0001,True,0.2,10.0
9,1,9,-0.008473659167923494,0.04482425142263062,4.482425142263063e-06,-0.008478141593065758,-0.008478141593065758,-0.008360077247120052,0.04774962290495038,4.774962290495038e-06,-0.008364852209410547,-0.010322923737079803,-0.008364852209410547,3,0.0001,0.0001,True,0.2,10.0
10,1,10,-0.008360077247120052,0.04774962290495038,4.774962290495038e-06,-0.008364852209410547,-0.008364852209410547,-0.008293050204704356,0.04978191281044929,4.978191281044929e-06,-0.008298028395985401,-0.010255896694664124,-0.008298028395985401,3,0.0001,0.0001,True,0.2,10.0
