stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,0.6577690803223087
0.0,0.05,0.95,0.6582407129650173
0.0,0.1,0.9,0.6587012994830476
0.0,0.15,0.85,0.659150851649121
0.0,0.2,0.8,0.6595892276981028
0.0,0.25,0.75,0.6600161246112877
0.0,0.3,0.7,0.6604316676926875
0.0,0.35,0.65,0.6608360214535357
0.0,0.4,0.6,0.6612288727240376
0.0,0.45,0.55,0.661610192222338
0.0,0.5,0.5,0.6619801988585573
0.0,0.55,0.45,0.6623385328060213
0.0,0.6,0.4,0.6626853803049819
0.0,0.65,0.35,0.6630204976361894
0.0,0.7,0.3,0.6633439789242135
0.0,0.75,0.25,0.6636556479032081
0.0,0.8,0.2,0.6639550074398985
0.0,0.85,0.15,0.664242305994863
0.0,0.9,0.1,0.6645176834891696
0.0,0.95,0.05,0.664781446202084
0.0,1.0,0.0,0.6650335452395946
0.05,0.0,0.95,0.6610392156787872
0.05,0.05,0.9,0.6615192605373827
0.05,0.1,0.85,0.6619874265423562
0.05,0.15,0.8,0.6624439940134361
0.05,0.2,0.75,0.6628889448447964
0.05,0.25,0.7,0.6633224043700675
0.05,0.3,0.65,0.663744189022673
0.05,0.35,0.6,0.6641542610350388
0.05,0.4,0.55,0.6645524394923558
0.05,0.45,0.5,0.6649384982462861
0.05,0.5,0.45,0.6653125150558493
0.05,0.55,0.4,0.6656746121533488
0.05,0.6,0.35,0.6660246841882274
0.05,0.65,0.3,0.6663627037078659
0.05,0.7,0.25,0.6666885660508042
0.05,0.75,0.2,0.6670022095818662
0.05,0.8,0.15,0.6673037841237993
0.05,0.85,0.1,0.667593392753624
0.05,0.9,0.05,0.6678708583673651
0.05,0.95,0.0,0.668136136470933
0.1,0.0,0.9,0.6642802575175072
0.1,0.05,0.85,0.6647677362366787
0.1,0.1,0.8,0.6652433586909137
0.1,0.15,0.75,0.6657073641997571
0.1,0.2,0.7,0.6661592121504755
0.1,0.25,0.65,0.6665989199944584
0.1,0.3,0.6,0.6670268054614336
0.1,0.35,0.55,0.6674423732010826
0.1,0.4,0.5,0.6678451976031625
0.1,0.45,0.45,0.6682354301609307
0.1,0.5,0.4,0.6686131641016956
0.1,0.55,0.35,0.668978527916026
0.1,0.6,0.3,0.6693317099765514
0.1,0.65,0.25,0.6696727031127148
0.1,0.7,0.2,0.67000125735015
0.1,0.75,0.15,0.6703170540246715
0.1,0.8,0.1,0.6706208167201684
0.1,0.85,0.05,0.6709121782283345
0.1,0.9,0.0,0.6711907941060099
0.15,0.0,0.85,0.667486397903306
0.15,0.05,0.8,0.667981253395023
0.15,0.1,0.75,0.6684639210542651
0.15,0.15,0.7,0.6689341810863305
0.15,0.2,0.65,0.6693920425309917
0.15,0.25,0.6,0.6698373258737892
0.15,0.3,0.55,0.6702701648564047
0.15,0.35,0.5,0.6706902342195934
0.15,0.4,0.45,0.6710972199564553
0.15,0.45,0.4,0.671491616087886
0.15,0.5,0.35,0.6718733372284151
0.15,0.55,0.3,0.672242342468463
0.15,0.6,0.25,0.6725987837348647
0.15,0.65,0.2,0.6729423633306242
0.15,0.7,0.15,0.6732731298919504
0.15,0.75,0.1,0.6735909819783498
0.15,0.8,0.05,0.6738958839743492
0.15,0.85,0.0,0.6741880230903536
0.2,0.0,0.8,0.6706538154526229
0.2,0.05,0.75,0.6711555820651852
0.2,0.1,0.7,0.671644398043265
0.2,0.15,0.65,0.6721202139044121
0.2,0.2,0.6,0.672583166542489
0.2,0.25,0.55,0.673033178016021
0.2,0.3,0.5,0.6734700863891134
0.2,0.35,0.45,0.6738941463742973
0.2,0.4,0.4,0.6743052204326481
0.2,0.45,0.35,0.6747033436032106
0.2,0.5,0.3,0.6750883802939112
0.2,0.55,0.25,0.6754603988315264
0.2,0.6,0.2,0.6758191460528702
0.2,0.65,0.15,0.676164920022836
0.2,0.7,0.1,0.6764975243647783
0.2,0.75,0.05,0.676817211065687
0.2,0.8,0.0,0.6771235192667394
0.25,0.0,0.75,0.6737736829367816
0.25,0.05,0.7,0.6742813260646195
0.25,0.1,0.65,0.6747757978272048
0.25,0.15,0.6,0.6752570346518734
0.25,0.2,0.55,0.6757247322313759
0.25,0.25,0.5,0.6761793600806919
0.25,0.3,0.45,0.6766206854625911
0.25,0.35,0.4,0.6770487924051213
0.25,0.4,0.35,0.6774637170010525
0.25,0.45,0.3,0.6778651210199704
0.25,0.5,0.25,0.6782532267136813
0.25,0.55,0.2,0.678627793280561
0.25,0.6,0.15,0.678988559900314
0.25,0.65,0.1,0.6793360360549171
0.25,0.7,0.05,0.6796701944674017
0.25,0.75,0.0,0.6799911436313341
0.3,0.0,0.7,0.6768372354610813
0.3,0.05,0.65,0.6773504044176983
0.3,0.1,0.6,0.6778501803658036
0.3,0.15,0.55,0.6783362050960821
0.3,0.2,0.5,0.6788086962341464
0.3,0.25,0.45,0.6792677586512668
0.3,0.3,0.4,0.6797133225021683
0.3,0.35,0.35,0.6801453270157153
0.3,0.4,0.3,0.6805634710826493
0.3,0.45,0.25,0.6809676791221282
0.3,0.5,0.2,0.6813581118470592
0.3,0.55,0.15,0.6817348192583592
0.3,0.6,0.1,0.6820980301854085
0.3,0.65,0.05,0.6824476230188432
0.3,0.7,0.0,0.6827834324331096
0.35,0.0,0.65,0.6798379532631964
0.35,0.05,0.6,0.6803558359064645
0.35,0.1,0.55,0.6808602118101565
0.35,0.15,0.5,0.6813508770664937
0.35,0.2,0.45,0.6818280001427222
0.35,0.25,0.4,0.682291161072109
0.35,0.3,0.35,0.6827403877195058
0.35,0.35,0.3,0.6831754636249807
0.35,0.4,0.25,0.6835964772572272
0.35,0.45,0.2,0.6840036074989593
0.35,0.5,0.15,0.6843970161599707
0.35,0.55,0.1,0.68477667110248
0.35,0.6,0.05,0.6851421293877454
0.35,0.65,0.0,0.6854932952785434
0.4,0.0,0.6,0.6827724503320046
0.4,0.05,0.55,0.6832951281023998
0.4,0.1,0.5,0.6838039174363609
0.4,0.15,0.45,0.684299097288793
0.4,0.2,0.4,0.6847801075290578
0.4,0.25,0.35,0.6852468471172217
0.4,0.3,0.3,0.6856992260340636
0.4,0.35,0.25,0.6861370796307656
0.4,0.4,0.2,0.6865608125109631
0.4,0.45,0.15,0.6869706533385628
0.4,0.5,0.1,0.6873664305111601
0.4,0.55,0.05,0.6877474838034731
0.4,0.6,0.0,0.6881138062016802
0.45,0.0,0.55,0.6856348354301317
0.45,0.05,0.5,0.686161850255841
0.45,0.1,0.45,0.686674508276817
0.45,0.15,0.4,0.68717288752957
0.45,0.2,0.35,0.6876567719814248
0.45,0.25,0.3,0.6881265522412421
