stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,0.8251542464490487
0.0,0.05,0.95,0.8263291136700904
0.0,0.1,0.9,0.8274793286912105
0.0,0.15,0.85,0.8286043382082706
0.0,0.2,0.8,0.8297035683048724
0.0,0.25,0.75,0.8307766460566909
0.0,0.3,0.7,0.8318234093546149
0.0,0.35,0.65,0.8328444153267995
0.0,0.4,0.6,0.8338388536426605
0.0,0.45,0.55,0.8348064174935568
0.0,0.5,0.5,0.8357479669621691
0.0,0.55,0.45,0.8366626158924338
0.0,0.6,0.4,0.837551178436002
0.0,0.65,0.35,0.8384126758124929
0.0,0.7,0.3,0.839247407866414
0.0,0.75,0.25,0.8400552988799916
0.0,0.8,0.2,0.840834342452929
0.0,0.85,0.15,0.841585170918183
0.0,0.9,0.1,0.8423081467659953
0.0,0.95,0.05,0.8430041616500057
0.0,1.0,0.0,0.8436730386183074
0.05,0.0,0.95,0.8334929506313813
0.05,0.05,0.9,0.8346981625108879
0.05,0.1,0.85,0.8358761180032405
0.05,0.15,0.8,0.8370273587130025
0.05,0.2,0.75,0.8381517240631037
0.05,0.25,0.7,0.8392494608925585
0.05,0.3,0.65,0.8403199620563191
0.05,0.35,0.6,0.8413632999908803
0.05,0.4,0.55,0.8423788736858157
0.05,0.45,0.5,0.8433659470843673
0.05,0.5,0.45,0.8443247842631778
0.05,0.55,0.4,0.8452564078827461
0.05,0.6,0.35,0.8461610433408339
0.05,0.65,0.3,0.8470374523406656
0.05,0.7,0.25,0.8478852885403085
0.05,0.75,0.2,0.848704398809333
0.05,0.8,0.15,0.8494957007303949
0.05,0.85,0.1,0.8502588297079655
0.05,0.9,0.05,0.8509932177381214
0.05,0.95,0.0,0.8516988940763203
0.1,0.0,0.9,0.8418256421861939
0.1,0.05,0.85,0.8430581534790845
0.1,0.1,0.8,0.8442633636234981
0.1,0.15,0.75,0.8454419543372004
0.1,0.2,0.7,0.8465919395142806
0.1,0.25,0.65,0.8477131796322016
0.1,0.3,0.6,0.8488071832207619
0.1,0.35,0.55,0.8498722064535131
0.1,0.4,0.5,0.8509071996109363
0.1,0.45,0.45,0.8519127235402258
0.1,0.5,0.4,0.8528893690283765
0.1,0.55,0.35,0.8538371263329235
0.1,0.6,0.3,0.8547568906329867
0.1,0.65,0.25,0.8556480136371672
0.1,0.7,0.2,0.8565095093574816
0.1,0.75,0.15,0.8573403158411279
0.1,0.8,0.1,0.858143062190243
0.1,0.85,0.05,0.8589164679523439
0.1,0.9,0.0,0.8596594031705463
0.15,0.0,0.85,0.8501353915312793
0.15,0.05,0.8,0.8513952229491297
0.15,0.1,0.75,0.852626570899514
0.15,0.15,0.7,0.8538285721435008
0.15,0.2,0.65,0.8550016064033396
0.15,0.25,0.6,0.8561452084799007
0.15,0.3,0.55,0.8572593766563226
0.15,0.35,0.5,0.8583435294922845
0.15,0.4,0.45,0.8593968541179478
0.15,0.45,0.4,0.8604205793639509
0.15,0.5,0.35,0.861414569980097
0.15,0.55,0.3,0.8623787891988518
0.15,0.6,0.25,0.8633134389780415
0.15,0.65,0.2,0.8642176699554334
0.15,0.7,0.15,0.8650915489874734
0.15,0.75,0.1,0.8659342009432052
0.15,0.8,0.05,0.8667458118145197
0.15,0.85,0.0,0.8675268244683454
0.2,0.0,0.8,0.8584100666523947
0.2,0.05,0.75,0.8596959934740126
0.2,0.1,0.7,0.8609514238162796
0.2,0.15,0.65,0.8621758393025946
0.2,0.2,0.6,0.863369597382972
0.2,0.25,0.55,0.8645326676805465
0.2,0.3,0.5,0.8656648673470061
0.2,0.35,0.45,0.866766796068467
0.2,0.4,0.4,0.8678381574486557
0.2,0.45,0.35,0.8688788296907123
0.2,0.5,0.3,0.8698881217539356
0.2,0.55,0.25,0.8708665703095525
0.2,0.6,0.2,0.8718134812481475
0.2,0.65,0.15,0.8727293739410522
0.2,0.7,0.1,0.8736135163337501
0.2,0.75,0.05,0.8744668912265133
0.2,0.8,0.0,0.87528801029749
0.25,0.0,0.75,0.8666264547473044
0.25,0.05,0.7,0.8679355583837371
0.25,0.1,0.65,0.8692129646617281
0.25,0.15,0.6,0.8704588885508083
0.25,0.2,0.55,0.8716727972814747
0.25,0.25,0.5,0.8728556214667209
0.25,0.3,0.45,0.8740063794046959
0.25,0.35,0.4,0.8751258369316409
0.25,0.4,0.35,0.8762142462909628
0.25,0.45,0.3,0.8772700484134784
0.25,0.5,0.25,0.8782939860398679
0.25,0.55,0.2,0.8792854478516158
0.25,0.6,0.15,0.8802432361270324
0.25,0.65,0.1,0.881169016802945
0.25,0.7,0.05,0.8820627177900465
0.25,0.75,0.0,0.8829247424708532
0.3,0.0,0.7,0.874755179879055
0.3,0.05,0.65,0.8760856113131299
0.3,0.1,0.6,0.8773846624721293
