stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,11.155281568926963
0.0,0.05,0.95,11.201773678295437
0.0,0.1,0.9,11.247518229629572
0.0,0.15,0.85,11.292468839112598
0.0,0.2,0.8,11.336561409721682
0.0,0.25,0.75,11.379824119864166
0.0,0.3,0.7,11.422188454167864
0.0,0.35,0.65,11.463717552801214
0.0,0.4,0.6,11.504368172747116
0.0,0.45,0.55,11.544081872536363
0.0,0.5,0.5,11.582940463999293
0.0,0.55,0.45,11.62088610308228
0.0,0.6,0.4,11.657987617001169
0.0,0.65,0.35,11.694164467949117
0.0,0.7,0.3,11.72946431811903
0.0,0.75,0.25,11.763914869900184
0.0,0.8,0.2,11.797343411462546
0.0,0.85,0.15,11.829789584803434
0.0,0.9,0.1,11.861263002129899
0.0,0.95,0.05,11.891823984825443
0.0,1.0,0.0,11.921460683667329
0.05,0.0,0.95,11.493305340218424
0.05,0.05,0.9,11.541710300246564
0.05,0.1,0.85,11.589231479254943
0.05,0.15,0.8,11.635890185200457
0.05,0.2,0.75,11.681659469456992
0.05,0.25,0.7,11.726538587144558
0.05,0.3,0.65,11.770495201991277
0.05,0.35,0.6,11.813535595301923
0.05,0.4,0.55,11.855618764434082
0.05,0.45,0.5,11.89668639899291
0.05,0.5,0.45,11.93678244301077
0.05,0.55,0.4,11.97600169316652
0.05,0.6,0.35,12.014379703026869
0.05,0.65,0.3,12.051785760534411
0.05,0.7,0.25,12.088169585111256
0.05,0.75,0.2,12.123540852839401
0.05,0.8,0.15,12.157994444294058
0.05,0.85,0.1,12.191465666543397
0.05,0.9,0.05,12.223913861396216
0.05,0.95,0.0,12.255363354221544
0.1,0.0,0.9,11.836197769044581
0.1,0.05,0.85,11.886368980988177
0.1,0.1,0.8,11.93563781084615
0.1,0.15,0.75,11.984068929611318
0.1,0.2,0.7,12.031501308970842
0.1,0.25,0.65,12.077931492483872
0.1,0.3,0.6,12.123483248600213
0.1,0.35,0.55,12.168032317307947
0.1,0.4,0.5,12.21151069639815
0.1,0.45,0.45,12.253962463243221
0.1,0.5,0.4,12.295438296435238
0.1,0.55,0.35,12.335923148421024
0.1,0.6,0.3,12.375488691809483
0.1,0.65,0.25,12.414061774117956
0.1,0.7,0.2,12.451565415169714
0.1,0.75,0.15,12.487931300414145
0.1,0.8,0.1,12.523344735754716
0.1,0.85,0.05,12.557714303793244
0.1,0.9,0.0,12.590987206921293
0.15,0.0,0.85,12.183121312835917
0.15,0.05,0.8,12.235094327633831
0.15,0.1,0.75,12.286092440308009
0.15,0.15,0.7,12.336050614392262
0.15,0.2,0.65,12.385043449718099
0.15,0.25,0.6,12.433026854589372
0.15,0.3,0.55,12.47999870342888
0.15,0.35,0.5,12.525935504858364
0.15,0.4,0.45,12.570777883199751
0.15,0.45,0.4,12.614596977434312
0.15,0.5,0.35,12.657382841698546
0.15,0.55,0.3,12.699124954707761
0.15,0.6,0.25,12.73983159648309
0.15,0.65,0.2,12.779464786325775
0.15,0.7,0.15,12.818039431439802
0.15,0.75,0.1,12.855468184259124
0.15,0.8,0.05,12.891758836673823
0.15,0.85,0.0,12.926948696540265
0.2,0.0,0.8,12.5335676208303
0.2,0.05,0.75,12.587316029144635
0.2,0.1,0.7,12.63996943110474
0.2,0.15,0.65,12.691505094157417
0.2,0.2,0.6,12.741950577558946
0.2,0.25,0.55,12.79132258793257
0.2,0.3,0.5,12.839627993093977
0.2,0.35,0.45,12.886895271051788
0.2,0.4,0.4,12.933104196193186
0.2,0.45,0.35,12.978224467246525
0.2,0.5,0.3,13.022199851705457
0.2,0.55,0.25,13.065087750433086
0.2,0.6,0.2,13.106851251567456
0.2,0.65,0.15,13.147503446540968
0.2,0.7,0.1,13.186981723906598
0.2,0.75,0.05,13.225381638781146
0.2,0.8,0.0,13.262584194069024
0.25,0.0,0.75,12.886539019482614
0.25,0.05,0.7,12.941906715438556
0.25,0.1,0.65,12.99608829063873
0.25,0.15,0.6,13.049133550858258
0.25,0.2,0.55,13.101049478943613
0.25,0.25,0.5,13.151895232854223
0.25,0.3,0.45,13.20155769119449
0.25,0.35,0.4,13.250121447136193
0.25,0.4,0.35,13.297643925232663
0.25,0.45,0.3,13.343961032553937
0.25,0.5,0.25,13.389137837505363
0.25,0.55,0.2,13.433133557356504
0.25,0.6,0.15,13.475828928847209
0.25,0.65,0.1,13.517349276884774
0.25,0.7,0.05,13.557685756111278
0.25,0.75,0.0,13.59689685468367
0.3,0.0,0.7,13.240292525582293
0.3,0.05,0.65,13.297132732393315
0.3,0.1,0.6,13.35288823574975
0.3,0.15,0.55,13.407465241871535
0.3,0.2,0.5,13.4608964347462
0.3,0.25,0.45,13.513204714963795
0.3,0.3,0.4,13.564329340357176
0.3,0.35,0.35,13.614265899676031
0.3,0.4,0.3,13.662980807218721
0.3,0.45,0.25,13.710394918278034
0.3,0.5,0.2,13.756514883510876
0.3,0.55,0.15,13.801395952360988
0.3,0.6,0.1,13.845125963275123
0.3,0.65,0.05,13.887636522467632
0.3,0.7,0.0,13.928914212701383
0.35,0.0,0.65,13.594152537228675
0.35,0.05,0.6,13.65244920133344
0.35,0.1,0.55,13.709632356193394
0.35,0.15,0.5,13.765667694928336
0.35,0.2,0.45,13.820595063165737
0.35,0.25,0.4,13.874259286275773
