stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,2.8388821792997176
0.0,0.05,0.95,2.8523996946467594
0.0,0.1,0.9,2.8658699273407637
0.0,0.15,0.85,2.8792409603451277
0.0,0.2,0.8,2.8926329141230376
0.0,0.25,0.75,2.905938094510972
0.0,0.3,0.7,2.9192038968215908
0.0,0.35,0.65,2.932479218447244
0.0,0.4,0.6,2.945728059235225
0.0,0.45,0.55,2.9589484289802046
0.0,0.5,0.5,2.9720984942073696
0.0,0.55,0.45,2.985224537968221
0.0,0.6,0.4,2.998254289854226
0.0,0.65,0.35,3.011208535598012
0.0,0.7,0.3,3.0241192671319412
0.0,0.75,0.25,3.036898439475093
0.0,0.8,0.2,3.0494061914519586
0.0,0.85,0.15,3.0617338492209694
0.0,0.9,0.1,3.0739276197186354
0.0,0.95,0.05,3.085958201325442
0.0,1.0,0.0,3.097877621006167
0.05,0.0,0.95,2.933182264302849
0.05,0.05,0.9,2.9472883200660163
0.05,0.1,0.85,2.9612908353117606
0.05,0.15,0.8,2.9752938642893834
0.05,0.2,0.75,2.9893053607799454
0.05,0.25,0.7,3.003280493869142
0.05,0.3,0.65,3.017151839506107
0.05,0.35,0.6,3.030933823327883
0.05,0.4,0.55,3.044700981231852
0.05,0.45,0.5,3.058455635877851
0.05,0.5,0.45,3.0721785208570394
0.05,0.55,0.4,3.085836305156616
0.05,0.6,0.35,3.099366144835357
0.05,0.65,0.3,3.1128082523663463
0.05,0.7,0.25,3.1260738176719354
0.05,0.75,0.2,3.1392064166069393
0.05,0.8,0.15,3.15217182702086
0.05,0.85,0.1,3.1650077185932655
0.05,0.9,0.05,3.1777062800219773
0.05,0.95,0.0,3.190327044055882
0.1,0.0,0.9,3.0304046468515606
0.1,0.05,0.85,3.0451669909334718
0.1,0.1,0.8,3.0598344385140575
0.1,0.15,0.75,3.0745248575370066
0.1,0.2,0.7,3.0892039854638162
0.1,0.25,0.65,3.10382585160634
0.1,0.3,0.6,3.118311548857568
0.1,0.35,0.55,3.132671675304467
0.1,0.4,0.5,3.146979227244368
0.1,0.45,0.45,3.1612606611251275
0.1,0.5,0.4,3.1755010309610046
0.1,0.55,0.35,3.189599700680879
0.1,0.6,0.3,3.2035818027278995
0.1,0.65,0.25,3.217456912580916
0.1,0.7,0.2,3.231181890418278
0.1,0.75,0.15,3.2448064312829605
0.1,0.8,0.1,3.258286499686817
0.1,0.85,0.05,3.2716601300766617
0.1,0.9,0.0,3.284996634364868
0.15,0.0,0.85,3.1300848152924936
0.15,0.05,0.8,3.145593784312892
0.15,0.1,0.75,3.1609794211282307
0.15,0.15,0.7,3.1763307118914557
0.15,0.2,0.65,3.191621413131359
0.15,0.25,0.6,3.206853085642129
0.15,0.3,0.55,3.2220023753297617
0.15,0.35,0.5,3.2370371934819127
0.15,0.4,0.45,3.251906948827874
0.15,0.45,0.4,3.266696066132669
0.15,0.5,0.35,3.281380743943821
0.15,0.55,0.3,3.2959623394857807
0.15,0.6,0.25,3.310478861247084
0.15,0.65,0.2,3.3249637005057595
0.15,0.7,0.15,3.3393262176535687
0.15,0.75,0.1,3.353523912742791
0.15,0.8,0.05,3.3675837685851344
0.15,0.85,0.0,3.381487669434589
0.2,0.0,0.8,3.231917880523955
0.2,0.05,0.75,3.2481710609014107
0.2,0.1,0.7,3.2643395354716223
0.2,0.15,0.65,3.2803750851326714
0.2,0.2,0.6,3.2963281419988992
0.2,0.25,0.55,3.3121465322388612
0.2,0.3,0.5,3.327889005743497
0.2,0.35,0.45,3.3435612567890507
0.2,0.4,0.4,3.3590646926285963
0.2,0.45,0.35,3.3743567115460755
0.2,0.5,0.3,3.3896270481200306
0.2,0.55,0.25,3.4048840695690354
0.2,0.6,0.2,3.420032636190176
0.2,0.65,0.15,3.43511008944425
0.2,0.7,0.1,3.4500224400911494
0.2,0.75,0.05,3.4647930529366233
0.2,0.8,0.0,3.4794040316459993
0.25,0.0,0.75,3.3358167230112943
0.25,0.05,0.7,3.3526458226112403
0.25,0.1,0.65,3.369378642793638
0.25,0.15,0.6,3.3860015665035457
0.25,0.2,0.55,3.402510402244047
0.25,0.25,0.5,3.4189466296394193
0.25,0.3,0.45,3.4353552935064178
0.25,0.35,0.4,3.45164928538504
0.25,0.4,0.35,3.467931730137079
0.25,0.45,0.3,3.4841464279470276
0.25,0.5,0.25,3.5002612040306182
0.25,0.55,0.2,3.5162922787123994
0.25,0.6,0.15,3.5321806763995243
0.25,0.65,0.1,3.547747884821081
0.25,0.7,0.05,3.5631367228665374
0.25,0.75,0.0,3.5783479286231765
0.3,0.0,0.7,3.442076206477675
0.3,0.05,0.65,3.459412722522344
0.3,0.1,0.6,3.4767275640870277
0.3,0.15,0.55,3.4940576141055235
0.3,0.2,0.5,3.5112803401506643
0.3,0.25,0.45,3.5284204087457653
0.3,0.3,0.4,3.5455546141587027
0.3,0.35,0.35,3.5626074956786034
0.3,0.4,0.3,3.579582470942924
0.3,0.45,0.25,3.5964072061056997
0.3,0.5,0.2,3.6131245852148752
0.3,0.55,0.15,3.629729679485844
0.3,0.6,0.1,3.646169155665422
0.3,0.65,0.05,3.662361880529193
0.3,0.7,0.0,3.678409286139822
0.35,0.0,0.65,3.5505757094817754
0.35,0.05,0.6,3.5687814972989176
0.35,0.1,0.55,3.586897392876328
0.35,0.15,0.5,3.6048679033840187
0.35,0.2,0.45,3.6226970537773653
0.35,0.25,0.4,3.6403819020256813
0.35,0.3,0.35,3.6580665862057353
0.35,0.35,0.3,3.675734907784414
0.35,0.4,0.25,3.6933971401587584
0.35,0.45,0.2,3.710960596858502
0.35,0.5,0.15,3.7284030172373597
0.35,0.55,0.1,3.7455684384249515
0.35,0.6,0.05,3.762571985786657
0.35,0.65,0.0,3.7793349511450254
0.4,0.0,0.6,3.6614608251475995
0.4,0.05,0.55,3.680170812326338
0.4,0.1,0.5,3.698822835011003
0.4,0.15,0.45,3.7173182298812777
0.4,0.2,0.4,3.735820215405899
0.4,0.25,0.35,3.7543213770065167
0.4,0.3,0.3,3.7728709112095187
0.4,0.35,0.25,3.791356972861563
0.4,0.4,0.2,3.8097427382710256
0.4,0.45,0.15,3.8279674907891916
0.4,0.5,0.1,3.845952249091918
0.4,0.55,0.05,3.8636537299227474
0.4,0.6,0.0,3.881184912899864
0.45,0.0,0.55,3.7739266363957706
0.45,0.05,0.5,3.793482505152596
0.45,0.1,0.45,3.8128165945738166
0.45,0.15,0.4,3.832059219730819
0.45,0.2,0.35,3.851339525123862
0.45,0.25,0.3,3.870584829031349
0.45,0.3,0.25,3.889696129793821
0.45,0.35,0.2,3.908712271933406
0.45,0.4,0.15,3.9275848181314834
0.45,0.45,0.1,3.946256307913797
0.45,0.5,0.05,3.9648592024992872
0.45,0.55,0.0,3.9831773734913822
0.5,0.0,0.5,3.887788385229954
0.5,0.05,0.45,3.9080609104771185
0.5,0.1,0.4,3.928240967288136
0.5,0.15,0.35,3.9482521201162584
0.5,0.2,0.3,3.9680525602407646
0.5,0.25,0.25,3.987797186562292
0.5,0.3,0.2,4.007409340778006
0.5,0.35,0.15,4.026874689705396
