approach,starting_age,terminal_worst_1pct_mean,terminal_worst_2pct_mean,terminal_worst_4pct_mean,terminal_worst_10pct_mean,terminal_worst_50pct_mean,terminal_mean,annual_contribution,normalization
Ours,20,43.442252962723416,53.29037573373914,66.45006759590953,91.9130048065302,198.27792250999153,412.93030430829054,1.0,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,21,40.08226975193099,49.15624700273293,61.29109506260777,84.77165964030353,182.95297415456585,381.0370352795475,0.922387417726932,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,22,19.240484080589628,23.594555156529108,29.420330126456545,40.70382764424653,87.90013434743531,183.0797866419352,0.442857926282682,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,23,12.307706230691341,15.105381626636804,18.85247980608354,26.09038650894924,56.34042451463491,117.35895085337175,0.2837255092102926,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,24,8.86641875102082,10.884904154544982,13.600070783661492,18.840395389023087,40.651753195739765,84.70970365486703,0.2046268469493182,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,25,6.838730404054496,8.400572856625775,10.479657166407723,14.507111290391926,31.280303202852966,65.22851542006075,0.1573851922966463,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,26,5.504796162948396,6.752738696790858,8.420235028143868,11.655370960263472,25.101688490305783,52.30625646394962,0.126207841922962,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,27,4.555632305974079,5.583029686766536,6.960169024859713,9.62147551509943,20.70067140103209,43.07588353803921,0.1039389453852819,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,28,3.837269824693986,4.71095614372677,5.8703884887445295,8.100817573708131,17.443763571800023,36.22667258815091,0.0874159031371248,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
Ours,29,3.271273389489809,4.025093318470405,5.020631749797224,6.927010220205411,14.902584631371825,30.880478290991693,0.0745814866148723,Mean over floored retirement-age wealth outcomes from age 65 through 90. Start age 20 begins at 0; later starts begin at 1. Each start uses its own constant annual contribution through age 65.
