stock_weight,bond_weight,t_bill_weight,objective
0.0,0.0,1.0,0.692798570545386
0.0,0.05,0.95,0.6952600991031398
0.0,0.1,0.9,0.6977096628669311
0.0,0.15,0.85,0.7001393424505005
0.0,0.2,0.8,0.7025657994477221
0.0,0.25,0.75,0.7049747921353088
0.0,0.3,0.7,0.7073739002478056
0.0,0.35,0.65,0.7097681270030906
0.0,0.4,0.6,0.7121533102876901
0.0,0.45,0.55,0.7145293159609861
0.0,0.5,0.5,0.7168908933025459
0.0,0.55,0.45,0.7192435758297553
0.0,0.6,0.4,0.72157634987604
0.0,0.65,0.35,0.7238932465300266
0.0,0.7,0.3,0.7261985759926605
0.0,0.75,0.25,0.7284799984802721
0.0,0.8,0.2,0.730717602963717
0.0,0.85,0.15,0.7329245094635432
0.0,0.9,0.1,0.735107024108284
0.0,0.95,0.05,0.737261239001462
0.0,1.0,0.0,0.7393942853746843
0.05,0.0,0.95,0.7099888995079271
0.05,0.05,0.9,0.7125438315628755
0.05,0.1,0.85,0.715077932897266
0.05,0.15,0.8,0.7176070161783792
0.05,0.2,0.75,0.7201308294489959
0.05,0.25,0.7,0.7226458640671326
0.05,0.3,0.65,0.7251423344363701
0.05,0.35,0.6,0.7276208231242286
0.05,0.4,0.55,0.7300912368778801
0.05,0.45,0.5,0.7325546407687171
0.05,0.5,0.45,0.7350070205880253
0.05,0.55,0.4,0.7374438486178165
0.05,0.6,0.35,0.7398569058481775
0.05,0.65,0.3,0.7422510802012099
0.05,0.7,0.25,0.7446149675766774
0.05,0.75,0.2,0.7469557348965002
0.05,0.8,0.15,0.7492673467702642
0.05,0.85,0.1,0.7515551175523727
0.05,0.9,0.05,0.7538179524477736
0.05,0.95,0.0,0.7560644260133209
0.1,0.0,0.9,0.7276167288720504
0.1,0.05,0.85,0.7302742886721777
0.1,0.1,0.8,0.7329141263952769
0.1,0.15,0.75,0.7355525249007089
0.1,0.2,0.7,0.7381846303236996
0.1,0.25,0.65,0.7408042193535269
0.1,0.3,0.6,0.7433996435828136
0.1,0.35,0.55,0.7459716108048225
0.1,0.4,0.5,0.748529238088037
0.1,0.45,0.45,0.7510771194773829
0.1,0.5,0.4,0.7536125830807229
0.1,0.55,0.35,0.7561214471058415
0.1,0.6,0.3,0.7586075345906149
0.1,0.65,0.25,0.7610731428564766
0.1,0.7,0.2,0.7635120452649082
0.1,0.75,0.15,0.7659306672812938
0.1,0.8,0.1,0.7683237869255886
0.1,0.85,0.05,0.770695731325905
0.1,0.9,0.0,0.7730550918593474
0.15,0.0,0.85,0.7456221444264082
0.15,0.05,0.8,0.7483971230544305
0.15,0.1,0.75,0.751149679559517
0.15,0.15,0.7,0.7538918978929711
0.15,0.2,0.65,0.7566212399439731
0.15,0.25,0.6,0.7593384556600485
0.15,0.3,0.55,0.7620393345876435
0.15,0.35,0.5,0.7647167609663815
0.15,0.4,0.45,0.7673640266462316
0.15,0.45,0.4,0.7699929214866376
0.15,0.5,0.35,0.7726005346226444
0.15,0.55,0.3,0.775187060769194
0.15,0.6,0.25,0.7777581303846255
0.15,0.65,0.2,0.7803185490639842
0.15,0.7,0.15,0.7828564304408008
0.15,0.75,0.1,0.7853647258892946
0.15,0.8,0.05,0.7878466720107296
0.15,0.85,0.0,0.7903006109556727
0.2,0.0,0.8,0.7639503841625083
0.2,0.05,0.75,0.7668414135640236
0.2,0.1,0.7,0.7697158419443797
0.2,0.15,0.65,0.7725675125044837
0.2,0.2,0.6,0.7754023489496982
0.2,0.25,0.55,0.7782108642286895
0.2,0.3,0.5,0.7810016256517901
0.2,0.35,0.45,0.7837767644439794
0.2,0.4,0.4,0.7865226821570593
0.2,0.45,0.35,0.7892334719863413
0.2,0.5,0.3,0.7919336921625136
0.2,0.55,0.25,0.794626037958311
0.2,0.6,0.2,0.7972973517471894
0.2,0.65,0.15,0.7999517075166108
0.2,0.7,0.1,0.802575749142903
0.2,0.75,0.05,0.8051725959067135
0.2,0.8,0.0,0.8077405591330049
0.25,0.0,0.75,0.7825744283338751
0.25,0.05,0.7,0.7855583203360261
0.25,0.1,0.65,0.7885226678360415
0.25,0.15,0.6,0.7914661057708752
0.25,0.2,0.55,0.7943888324077107
0.25,0.25,0.5,0.7972957655070027
0.25,0.3,0.45,0.8001927323523146
0.25,0.35,0.4,0.8030681311708315
0.25,0.4,0.35,0.8059355036952673
0.25,0.45,0.3,0.8087867620771393
0.25,0.5,0.25,0.8116169159471058
0.25,0.55,0.2,0.8144284102927478
0.25,0.6,0.15,0.8172116367494204
0.25,0.65,0.1,0.8199441641586444
0.25,0.7,0.05,0.8226451048216049
0.25,0.75,0.0,0.8253148821740491
0.3,0.0,0.7,0.8015380332930829
0.3,0.05,0.65,0.8046054560564835
0.3,0.1,0.6,0.807663991963764
0.3,0.15,0.55,0.8107179849052755
0.3,0.2,0.5,0.8137511591940882
0.3,0.25,0.45,0.8167666456536924
0.3,0.3,0.4,0.8197755185488163
0.3,0.35,0.35,0.8227682378837305
0.3,0.4,0.3,0.8257436218916437
0.3,0.45,0.25,0.8286917493843379
0.3,0.5,0.2,0.8316187656953303
0.3,0.55,0.15,0.8345221469790042
0.3,0.6,0.1,0.8373935493676583
0.3,0.65,0.05,0.8402224838992881
0.3,0.7,0.0,0.8430234633842327
0.35,0.0,0.65,0.8208157617717267
0.35,0.05,0.6,0.8240179766070773
0.35,0.1,0.55,0.827200948137375
0.35,0.15,0.5,0.8303573670905424
0.35,0.2,0.45,0.8334862477697006
0.35,0.25,0.4,0.8365886268438792
0.35,0.3,0.35,0.8396856292178457
0.35,0.35,0.3,0.8427749528572518
0.35,0.4,0.25,0.8458569347155951
0.35,0.45,0.2,0.8489189487274812
0.35,0.5,0.15,0.8519573090175464
0.35,0.55,0.1,0.8549499147914796
0.35,0.6,0.05,0.8579095944685063
0.35,0.65,0.0,0.8608269209400753
0.4,0.0,0.6,0.8404207912304802
0.4,0.05,0.55,0.8437046298621459
0.4,0.1,0.5,0.8469746956077077
0.4,0.15,0.45,0.8502178069344503
0.4,0.2,0.4,0.8534553372776972
0.4,0.25,0.35,0.8566858385857832
0.4,0.3,0.3,0.8599171106829566
0.4,0.35,0.25,0.8631322855442259
0.4,0.4,0.2,0.8663268496733277
0.4,0.45,0.15,0.8694903039042055
0.4,0.5,0.1,0.8726122817738058
0.4,0.55,0.05,0.8756867883122487
0.4,0.6,0.0,0.8787302820413314
0.45,0.0,0.55,0.8602448896263157
0.45,0.05,0.5,0.8636591171111855
0.45,0.1,0.45,0.8670374928709464
0.45,0.15,0.4,0.8703970963671824
0.45,0.2,0.35,0.8737535447149273
0.45,0.25,0.3,0.8770988210233939
0.45,0.3,0.25,0.8804171424058327
0.45,0.35,0.2,0.8837152826466317
0.45,0.4,0.15,0.8869858076076016
0.45,0.45,0.1,0.890222521633365
0.45,0.5,0.05,0.8934404305930869
0.45,0.55,0.0,0.8966121805613123
0.5,0.0,0.5,0.880235877332507
0.5,0.05,0.45,0.88376462006932
0.5,0.1,0.4,0.8872714319684186
0.5,0.15,0.35,0.8907480750883555
0.5,0.2,0.3,0.8941881175085306
0.5,0.25,0.25,0.8976117004642992
0.5,0.3,0.2,0.9010097173710061
0.5,0.35,0.15,0.9043803712113498
0.5,0.4,0.1,0.9077248176806539
0.5,0.45,0.05,0.9110405198833282
0.5,0.5,0.0,0.9143347212241025
0.55,0.0,0.45,0.900350663147867
0.55,0.05,0.4,0.9039507855930005
0.55,0.1,0.35,0.9075150198141958
0.55,0.15,0.3,0.9110676341718406
