global_step,iteration,iteration_step,raw_objective_before_step,curvature_penalty_value_before_step,curvature_penalty_term_before_step,regularized_objective_before_step,objective_before_step,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,objective,control_point_count,curvature_penalty_weight,curvature_huber_delta,smooth,smoothing_strength,smoothing_bandwidth
1,1,1,0.6557549174327623,2.2058292552502324e-27,2.2058292552502324e-31,0.6557549174327623,0.6557549174327623,0.6567582989416572,0.005371147481363782,5.371147481363782e-07,0.656757761826909,0.656757761826909,3,0.0001,0.0001,True,0.2,10.0
2,1,2,0.6567582989416572,0.005371147481363782,5.371147481363782e-07,0.656757761826909,0.656757761826909,0.6574615890915139,0.009901326752775465,9.901326752775465e-07,0.6574605989588386,0.6574605989588386,3,0.0001,0.0001,True,0.2,10.0
3,1,3,0.6574615890915139,0.009901326752775465,9.901326752775465e-07,0.6574605989588386,0.6574605989588386,0.6580360917381244,0.013662812577576712,1.3662812577576712e-06,0.6580347254568666,0.6580347254568666,3,0.0001,0.0001,True,0.2,10.0
4,1,4,0.6580360917381244,0.013662812577576712,1.3662812577576712e-06,0.6580347254568666,0.6580347254568666,0.6584256286871284,0.016417405371488888,1.6417405371488888e-06,0.6584239869465912,0.6584239869465912,3,0.0001,0.0001,True,0.2,10.0
5,2,1,0.6584256286871284,0.01641740537148889,1.6417405371488892e-06,0.6584239869465912,0.6584239869465912,0.6590403011914223,0.02938512802358944,2.938512802358944e-06,0.65903736267862,0.65903736267862,5,0.0001,0.0001,True,0.2,10.0
6,2,2,0.6590403011914223,0.02938512802358944,2.938512802358944e-06,0.65903736267862,0.65903736267862,0.6594361462213333,0.037518411184673195,3.7518411184673196e-06,0.6594323943802148,0.6594323943802148,5,0.0001,0.0001,True,0.2,10.0
7,2,3,0.6594361462213333,0.037518411184673195,3.7518411184673196e-06,0.6594323943802148,0.6594323943802148,0.6596228373360974,0.040474230134879524,4.047423013487953e-06,0.6596187899130839,0.6596187899130839,5,0.0001,0.0001,True,0.2,10.0
8,2,4,0.6596228373360974,0.040474230134879524,4.047423013487953e-06,0.6596187899130839,0.6596187899130839,0.659657817113532,0.0411188649129142,4.111886491291421e-06,0.6596537052270407,0.6596537052270407,5,0.0001,0.0001,True,0.2,10.0
9,2,5,0.659657817113532,0.0411188649129142,4.111886491291421e-06,0.6596537052270407,0.6596537052270407,0.6596739223436173,0.041854328721909674,4.185432872190967e-06,0.6596697369107452,0.6596697369107452,5,0.0001,0.0001,True,0.2,10.0
10,3,1,0.6596739223436173,0.0418543287219096,4.18543287219096e-06,0.6596697369107452,0.6596697369107452,0.6599538517673317,0.06966282618900095,6.966282618900095e-06,0.6599468854847128,0.6599468854847128,9,0.0001,0.0001,True,0.2,10.0
11,3,2,0.6599538517673317,0.06966282618900095,6.966282618900095e-06,0.6599468854847128,0.6599468854847128,0.6600963006049926,0.0772547150670751,7.72547150670751e-06,0.6600885751334858,0.6600885751334858,9,0.0001,0.0001,True,0.2,10.0
12,3,3,0.6600963006049926,0.0772547150670751,7.72547150670751e-06,0.6600885751334858,0.6600885751334858,0.6602158159587102,0.08172822244593364,8.172822244593365e-06,0.6602076431364655,0.6602076431364655,9,0.0001,0.0001,True,0.2,10.0
13,3,4,0.6602158159587102,0.08172822244593364,8.172822244593365e-06,0.6602076431364655,0.6602076431364655,0.6602752747302888,0.07994722303489878,7.994722303489877e-06,0.6602672800079853,0.6602672800079853,9,0.0001,0.0001,True,0.2,10.0
14,4,1,0.6602752747302888,0.07994722303489887,7.994722303489887e-06,0.6602672800079853,0.6602672800079853,0.6603453309522881,0.18955978558113068,1.8955978558113068e-05,0.6603263749737299,0.6603263749737299,17,0.0001,0.0001,True,0.2,10.0
15,4,2,0.6603453309522881,0.18955978558113068,1.8955978558113068e-05,0.6603263749737299,0.6603263749737299,0.6604345360918362,0.1628049092833235,1.6280490928332352e-05,0.6604182556009079,0.6604182556009079,17,0.0001,0.0001,True,0.2,10.0
16,4,3,0.6604345360918362,0.1628049092833235,1.6280490928332352e-05,0.6604182556009079,0.6604182556009079,0.6604604351873992,0.14130208585200787,1.4130208585200788e-05,0.660446304978814,0.660446304978814,17,0.0001,0.0001,True,0.2,10.0
17,4,4,0.6604604351873992,0.14130208585200787,1.4130208585200788e-05,0.660446304978814,0.660446304978814,0.6604692633461976,0.14270182336547454,1.4270182336547456e-05,0.660454993163861,0.660454993163861,17,0.0001,0.0001,True,0.2,10.0
18,4,5,0.6604692633461976,0.14270182336547454,1.4270182336547456e-05,0.660454993163861,0.660454993163861,0.6604840934096101,0.14243731550344285,1.4243731550344286e-05,0.6604698496780598,0.6604698496780598,17,0.0001,0.0001,True,0.2,10.0
19,4,6,0.6604840934096101,0.14243731550344285,1.4243731550344286e-05,0.6604698496780598,0.6604698496780598,0.660490059289884,0.14274378721185374,1.4274378721185374e-05,0.6604757849111629,0.6604757849111629,17,0.0001,0.0001,True,0.2,10.0
