age,stock_weight,bond_weight,t_bill_weight
20,0.95,0.0,0.05
21,0.95,0.0,0.05
22,0.95,0.0,0.05
23,0.95,0.0,0.05
24,0.95,0.0,0.05
25,0.95,0.0,0.05
26,0.95,0.0,0.05
27,0.95,0.0,0.05
28,0.95,0.0,0.05
29,0.95,0.0,0.05
30,0.95,0.0,0.05
31,0.95,0.0,0.05
32,0.95,0.0,0.05
33,0.95,0.0,0.05
34,0.95,0.0,0.05
35,0.95,0.0,0.05
36,0.945,0.005,0.05
37,0.94,0.01,0.05
38,0.935,0.015,0.05
39,0.93,0.02,0.05
40,0.925,0.025,0.05
41,0.92,0.03,0.05
42,0.915,0.035,0.05
43,0.91,0.04,0.05
44,0.905,0.045,0.05
45,0.9,0.05,0.05
46,0.8828571429,0.0628571429,0.0542857143
47,0.8657142857,0.0757142857,0.0585714286
48,0.8485714286,0.0885714286,0.0628571429
49,0.8314285714,0.1014285714,0.0671428571
50,0.8142857143,0.1142857143,0.0714285714
51,0.7971428571,0.1271428571,0.0757142857
52,0.78,0.14,0.08
53,0.7628571429,0.1528571429,0.0842857143
54,0.7457142857,0.1657142857,0.0885714286
55,0.7285714286,0.1785714286,0.0928571429
56,0.7114285714,0.1914285714,0.0971428571
57,0.6942857143,0.2042857143,0.1014285714
58,0.6771428571,0.2171428571,0.1057142857
59,0.66,0.23,0.11
60,0.6428571429,0.2428571429,0.1142857143
61,0.6257142857,0.2557142857,0.1185714286
62,0.6085714286,0.2685714286,0.1228571429
63,0.5914285714,0.2814285714,0.1271428571
64,0.5742857143,0.2942857143,0.1314285714
65,0.5571428571,0.3071428571,0.1357142857
66,0.54,0.32,0.14
67,0.5228571429,0.3328571429,0.1442857143
68,0.5057142857,0.3457142857,0.1485714286
69,0.4885714286,0.3585714286,0.1528571429
70,0.4714285714,0.3714285714,0.1571428571
71,0.4542857143,0.3842857143,0.1614285714
72,0.4371428571,0.3971428571,0.1657142857
73,0.42,0.41,0.17
74,0.4028571429,0.4228571429,0.1742857143
75,0.3857142857,0.4357142857,0.1785714286
76,0.3685714286,0.4485714286,0.1828571429
77,0.3514285714,0.4614285714,0.1871428571
78,0.3342857143,0.4742857143,0.1914285714
79,0.3171428571,0.4871428571,0.1957142857
80,0.3,0.5,0.2
81,0.3,0.5,0.2
82,0.3,0.5,0.2
83,0.3,0.5,0.2
84,0.3,0.5,0.2
85,0.3,0.5,0.2
86,0.3,0.5,0.2
87,0.3,0.5,0.2
88,0.3,0.5,0.2
89,0.3,0.5,0.2
90,0.3,0.5,0.2
