evaluation,pass,horizon,candidates_checked,current_objective,best_delta_objective,best_replacement_objective,accepted,objective_after,replacement_distance
1,1,2,281,-0.003033295238256935,0.000145663070939382,-0.0028876321673175533,True,-0.0028876321673175533,0.2274644514912171
2,1,3,282,-0.0028876321673175533,1.716132378214522e-05,-0.002870470843535408,True,-0.002870470843535408,0.04370132981348814
3,1,4,286,-0.002870470843535408,6.982431476592393e-06,-0.002863488412058816,True,-0.002863488412058816,0.04093946237529001
4,1,5,280,-0.002863488412058816,3.5311665569361175e-06,-0.00285995724550188,True,-0.00285995724550188,0.019865643967903635
5,1,6,253,-0.00285995724550188,4.044705584566387e-06,-0.0028559125399173135,True,-0.0028559125399173135,0.13792509205398737
6,1,7,228,-0.0028559125399173135,5.031297242247999e-06,-0.0028508812426750654,True,-0.0028508812426750654,0.12637510309749073
7,1,8,192,-0.0028508812426750654,9.348213907908114e-07,-0.0028499464212842747,False,-0.0028508812426750654,0.03717040865134668
8,1,9,156,-0.0028508812426750654,2.0582692075936486e-06,-0.0028488229734674715,True,-0.0028488229734674715,0.15431644284945295
9,1,10,152,-0.0028488229734674715,6.796337835704751e-07,-0.0028481433396839013,False,-0.0028488229734674715,0.02480538343480408
10,1,11,152,-0.0028488229734674715,-5.531906525037462e-09,-0.0028488285053739964,False,-0.0028488229734674715,0.03610326887002653
11,1,12,153,-0.0028488229734674715,1.4652421721354487e-06,-0.002847357731295336,True,-0.002847357731295336,0.0760786542354277
12,1,13,152,-0.002847357731295336,6.60674477663141e-07,-0.002846697056817673,False,-0.002847357731295336,0.036401520058675425
13,1,14,151,-0.002847357731295336,7.40553378138168e-07,-0.002846617177917198,False,-0.002847357731295336,0.019942611535148175
14,1,15,152,-0.002847357731295336,7.596719616311486e-08,-0.002847281764099173,False,-0.002847357731295336,0.044250313042781826
15,1,16,151,-0.002847357731295336,-9.914315681576719e-08,-0.0028474568744521517,False,-0.002847357731295336,0.02307819224271099
16,1,17,151,-0.002847357731295336,-1.7955547675542342e-08,-0.0028473756868430114,False,-0.002847357731295336,0.004761803784788853
17,1,18,150,-0.002847357731295336,3.835196683697371e-07,-0.0028469742116269663,False,-0.002847357731295336,0.027872619692077032
18,1,19,152,-0.002847357731295336,6.330656935842213e-07,-0.002846724665601752,False,-0.002847357731295336,0.018717855822860233
19,1,20,151,-0.002847357731295336,7.741802798425705e-07,-0.0028465835510154934,False,-0.002847357731295336,0.03505740201283235
20,1,21,151,-0.002847357731295336,9.258213087537208e-07,-0.002846431909986582,False,-0.002847357731295336,0.020416744537731814
21,1,22,151,-0.002847357731295336,1.319882451197036e-06,-0.0028460378488441387,True,-0.0028460378488441387,0.03013016096035508
22,1,23,151,-0.0028460378488441387,1.2223193918896487e-06,-0.002844815529452249,True,-0.002844815529452249,0.036417613823238874
23,1,24,152,-0.002844815529452249,1.0652877788609564e-06,-0.0028437502416733883,True,-0.0028437502416733883,0.038995167798384904
