replacement,evaluation,pass,horizon,objective_before,delta_objective,objective_after,euclidean_distance,old_stock_weight,old_bond_weight,old_t_bill_weight,new_stock_weight,new_bond_weight,new_t_bill_weight
1,1,1,2,-0.0029299155283767754,2.7956443135455124e-05,-0.0029019590852413205,0.2189172600797411,0.3218398798487835,0.1538697383878814,0.524290381763335,0.32,0.0,0.68
2,2,1,3,-0.0029019590852413205,6.5878215146670085e-06,-0.0028953712637266537,0.11979953308409076,0.3745335086892073,0.1889624458056359,0.4365040455051568,0.36,0.28,0.36
3,3,1,4,-0.0028953712637266537,1.2573814382740317e-05,-0.0028827974493439135,0.17219079059206033,0.5207936749585903,0.2030838883859547,0.2761224366554549,0.48,0.34,0.18
4,4,1,5,-0.0028827974493439135,4.678552401954615e-06,-0.002878118896941959,0.029956093932878625,0.5418400901956952,0.2395436229531981,0.2186162868511065,0.52,0.26,0.22
5,5,1,6,-0.002878118896941959,6.181243718282967e-06,-0.002871937653223676,0.17380275247452526,0.5110656705456307,0.3445509795434351,0.1443833499109341,0.48,0.48,0.04
6,6,1,7,-0.002871937653223676,4.101553954314211e-06,-0.0028678360992693617,0.10732104920017745,0.4976499522788414,0.4170351699024546,0.0853148778187038,0.5,0.34,0.16
7,7,1,8,-0.0028678360992693617,1.3057591093054228e-06,-0.0028665303401600563,0.03526469672863912,0.4916329784369595,0.5080433961606279,0.0003236254024125,0.5,0.48,0.02
8,8,1,9,-0.0028665303401600563,4.6436702369395545e-06,-0.0028618866699231167,0.10218230102667766,0.5794911891726194,0.4205088108273806,0.0,0.56,0.36,0.08
9,9,1,10,-0.0028618866699231167,4.9133913027328405e-06,-0.0028569732786203838,0.07353309381866943,0.5718862511160023,0.4281137488839977,0.0,0.54,0.4,0.06
10,16,1,17,-0.0028569732786203838,1.6075916718747297e-06,-0.002855365686948509,0.0520553393082531,0.6768086834218324,0.3231913165781676,0.0,0.64,0.36,0.0
11,17,1,18,-0.002855365686948509,2.3387575152379808e-06,-0.002853026929433271,0.036853385760859156,0.6860592789811872,0.3139407210188127,0.0,0.66,0.34,0.0
12,18,1,19,-0.002853026929433271,2.7547436064141932e-06,-0.002850272185826857,0.04837496455018351,0.6942062654730936,0.3057937345269064,0.0,0.66,0.34,0.0
13,19,1,20,-0.002850272185826857,1.8505353917162848e-06,-0.0028484216504351405,0.058482432193913365,0.7013533243845986,0.2986466756154014,0.0,0.66,0.34,0.0
14,20,1,21,-0.0028484216504351405,2.449271133205112e-06,-0.0028459723793019353,0.04144561521326825,0.7093064755677503,0.2906935244322496,0.0,0.68,0.32,0.0
15,21,1,22,-0.0028459723793019353,3.220974026511255e-06,-0.002842751405275424,0.048553135406784444,0.7143322512940059,0.285667748705994,0.0,0.68,0.32,0.0
16,22,1,23,-0.002842751405275424,2.598220272936689e-06,-0.0028401531850024875,0.04653236733432076,0.7129033524867616,0.2870966475132384,0.0,0.68,0.32,0.0
17,23,1,24,-0.0028401531850024875,1.2842542606237953e-06,-0.002838868930741864,0.04057731979603129,0.7086924979901489,0.2913075020098511,0.0,0.68,0.32,0.0
18,37,1,38,-0.002838868930741864,1.6408804145872508e-06,-0.0028372280503272764,0.08084774660022408,0.6428320101353299,0.3571679898646701,0.0,0.7,0.3,0.0
19,38,1,39,-0.0028372280503272764,2.0569160286073445e-06,-0.002835171134298669,0.10313347215068772,0.6270736224749348,0.3729263775250653,0.0,0.7,0.3,0.0
20,39,1,40,-0.002835171134298669,3.443406310415786e-06,-0.002831727727988253,0.13157230249375063,0.6069643326903412,0.3930356673096588,0.0,0.7,0.3,0.0
21,40,1,41,-0.002831727727988253,2.7316616126826786e-06,-0.0028289960663755703,0.11321495867801804,0.5999449349870187,0.4000550650129813,0.0,0.68,0.32,0.0
22,41,1,42,-0.0028289960663755703,5.768405863355377e-06,-0.002823227660512215,0.1680083739064567,0.5612001395146194,0.4387998604853805,0.0,0.68,0.32,0.0
23,42,1,43,-0.002823227660512215,7.259747393410926e-06,-0.002815967913118804,0.20728656677471255,0.5334262629847227,0.4665737370152774,0.0,0.68,0.32,0.0
24,43,1,44,-0.002815967913118804,5.2881747481064305e-06,-0.0028106797383706974,0.18939279142990492,0.5460790728720648,0.4539209271279352,0.0,0.68,0.32,0.0
25,44,1,45,-0.0028106797383706974,3.5946690301672663e-06,-0.0028070850693405302,0.1751398320058854,0.5561574371327657,0.4438425628672342,0.0,0.68,0.32,0.0
26,45,1,46,-0.0028070850693405302,1.9956327549541102e-06,-0.002805089436585576,0.13359989429607425,0.573771628940321,0.3945877917585675,0.0316405793011114,0.68,0.32,0.0
27,46,1,47,-0.002805089436585576,1.6940632332698712e-06,-0.0028033953733523063,0.11451623186880446,0.5865192406407458,0.3650099453619502,0.048470813997304,0.68,0.32,0.0
28,47,1,48,-0.0028033953733523063,1.2494110421708282e-06,-0.0028021459623101355,0.11131004532640651,0.5891213877216958,0.3645609735936002,0.0463176386847039,0.68,0.32,0.0
29,52,2,4,-0.002802145962310142,3.895274634912174e-06,-0.0027982506876752297,0.028284271247461888,0.48,0.34,0.18,0.46,0.34,0.2
30,56,2,8,-0.0027982506876752297,1.4452449247275349e-06,-0.002796805442750502,0.08485281374238571,0.5,0.48,0.02,0.5,0.42,0.08
31,85,2,37,-0.002796805442750502,1.2430865201643742e-06,-0.0027955623562303375,0.06409030275161644,0.6546813123160332,0.3453186876839669,0.0,0.7,0.3,0.0
