horizon,best_delta_objective,best_stock_weight,best_bond_weight,best_t_bill_weight,current_stock_weight,current_bond_weight,current_t_bill_weight
2,7.47882658580501e-18,0.32,0.0,0.68,0.32,0.0,0.68
3,-2.667137344314341e-18,0.36,0.28,0.36,0.36,0.28,0.36
4,-4.8767413718397986e-18,0.48,0.26,0.26,0.48,0.26,0.26
5,2.0383000842727482e-19,0.52,0.22,0.26,0.52,0.22,0.26
6,-1.988426784338415e-18,0.48,0.46,0.06,0.48,0.46,0.06
7,2.1293730667615308e-18,0.5,0.3,0.2,0.5,0.3,0.2
8,3.157196726277789e-18,0.5,0.38,0.12,0.5,0.38,0.12
9,2.4643915380595516e-18,0.56,0.34,0.1,0.56,0.34,0.1
10,-5.551115123125783e-19,0.54,0.4,0.06,0.54,0.4,0.06
11,-1.476683358925257e-18,0.56,0.44,0.0,0.56,0.44,0.0
12,-2.0404684886177194e-18,0.58,0.38,0.04,0.58,0.38,0.04
13,-1.4203048459560108e-18,0.58,0.38,0.04,0.58,0.38,0.04
14,-3.3501847129802085e-19,0.6,0.4,0.0,0.6,0.4,0.0
15,-4.597017211338539e-19,0.6,0.38,0.02,0.6,0.38,0.02
16,1.1058862159352145e-19,0.62,0.38,0.0,0.62,0.38,0.0
17,2.1746471610777346e-08,0.64,0.36,0.0,0.6409960978072285,0.3590039021927714,0.0
18,2.3093506273941243e-19,0.64,0.36,0.0,0.64,0.36,0.0
19,-2.8314168179898597e-08,0.66,0.34,0.0,0.6523999859774469,0.3476000140225532,0.0
20,-1.1747905164158357e-08,0.66,0.34,0.0,0.6569302528936076,0.3430697471063924,0.0
21,3.5433332523778992e-09,0.66,0.34,0.0,0.6589947323882217,0.3410052676117782,0.0
22,-1.206613921612195e-07,0.66,0.34,0.0,0.6646057472956617,0.3353942527043383,0.0
23,-5.388315178799993e-08,0.68,0.32,0.0,0.6667104461227839,0.3332895538772162,0.0
24,1.9081958235744878e-19,0.68,0.32,0.0,0.68,0.32,0.0
25,1.214306433183765e-19,0.68,0.32,0.0,0.68,0.32,0.0
26,4.163336342344337e-19,0.68,0.32,0.0,0.68,0.32,0.0
27,1.7347234759768072e-19,0.68,0.32,0.0,0.68,0.32,0.0
28,1.3877787807814457e-19,0.68,0.32,0.0,0.68,0.32,0.0
29,4.510281037539699e-19,0.7,0.3,0.0,0.7,0.3,0.0
30,2.7755575615628914e-19,0.7,0.3,0.0,0.7,0.3,0.0
31,3.4694469519536144e-19,0.7,0.3,0.0,0.7,0.3,0.0
32,3.4694469519536144e-19,0.7,0.3,0.0,0.7,0.3,0.0
33,-1.0408340855860842e-19,0.7,0.3,0.0,0.7,0.3,0.0
34,0.0,0.7,0.3,0.0,0.7,0.3,0.0
35,-6.938893903907229e-20,0.7,0.3,0.0,0.7,0.3,0.0
36,1.708452378887393e-08,0.72,0.28,0.0,0.7,0.3,0.0
37,0.0,0.7,0.3,0.0,0.7,0.3,0.0
38,-6.938893903907229e-20,0.7,0.3,0.0,0.7,0.3,0.0
39,4.163336342344337e-19,0.7,0.3,0.0,0.7,0.3,0.0
40,0.0,0.7,0.3,0.0,0.7,0.3,0.0
41,2.7755575615628914e-19,0.68,0.32,0.0,0.68,0.32,0.0
42,-1.3877787807814457e-19,0.7,0.3,0.0,0.7,0.3,0.0
43,2.7755575615628914e-19,0.68,0.32,0.0,0.68,0.32,0.0
44,-1.3877787807814457e-19,0.68,0.32,0.0,0.68,0.32,0.0
45,-2.0816681711721684e-19,0.68,0.32,0.0,0.68,0.32,0.0
46,-7.632783294297951e-19,0.68,0.32,0.0,0.68,0.32,0.0
47,-4.163336342344337e-19,0.68,0.32,0.0,0.68,0.32,0.0
48,-1.3877787807814457e-19,0.68,0.32,0.0,0.68,0.32,0.0
49,3.4246660918224593e-09,0.66,0.34,0.0,0.68,0.32,0.0
50,-3.4694469519536144e-19,0.66,0.34,0.0,0.66,0.34,0.0
