iteration,raw_objective,curvature_penalty_value,curvature_penalty_term,regularized_objective,canonical_objective,objective,smooth,smoothing_strength,smoothing_bandwidth,start
0,-0.011723329319413991,2.4517690045157133e-27,0.0,-0.011723329319413991,-0.013686175809373749,-0.011723329319413991,True,0.2,10.0,linear_to_stocks
1,-0.010239528962485636,0.1904248208832011,0.0,-0.010239528962485636,-0.012202375452445392,-0.010239528962485636,True,0.2,10.0,linear_to_stocks
2,-0.008868583424906373,0.2312708764028593,0.0,-0.008868583424906373,-0.010831429914866091,-0.008868583424906373,True,0.2,10.0,linear_to_stocks
3,-0.007642451463596922,0.2814207869503631,0.0,-0.007642451463596922,-0.00960529795355663,-0.007642451463596922,True,0.2,10.0,linear_to_stocks
4,-0.0065670451055253,0.3339063934196392,0.0,-0.0065670451055253,-0.008529891595485017,-0.0065670451055253,True,0.2,10.0,linear_to_stocks
5,-0.005635497686812888,0.37329895629141524,0.0,-0.005635497686812888,-0.007598344176772647,-0.005635497686812888,True,0.2,10.0,linear_to_stocks
6,-0.004827321020884878,0.40442724573161015,0.0,-0.004827321020884878,-0.006790167510844637,-0.004827321020884878,True,0.2,10.0,linear_to_stocks
7,-0.004177400350808823,0.4290710304762342,0.0,-0.004177400350808823,-0.006140246840768584,-0.004177400350808823,True,0.2,10.0,linear_to_stocks
8,-0.003626015351502851,0.45713097039006756,0.0,-0.003626015351502851,-0.005588861841462584,-0.003626015351502851,True,0.2,10.0,linear_to_stocks
9,-0.00316771367702974,0.4945555065965485,0.0,-0.00316771367702974,-0.005130560166989508,-0.00316771367702974,True,0.2,10.0,linear_to_stocks
10,-0.0027982433356818995,0.5343247147101152,0.0,-0.0027982433356818995,-0.004761089825641645,-0.0027982433356818995,True,0.2,10.0,linear_to_stocks
11,-0.002495534739968906,0.5792501677918795,0.0,-0.002495534739968906,-0.0044583812299286325,-0.002495534739968906,True,0.2,10.0,linear_to_stocks
12,-0.002246887706559049,0.623130920141667,0.0,-0.002246887706559049,-0.004209734196518811,-0.002246887706559049,True,0.2,10.0,linear_to_stocks
13,-0.0020453365645180083,0.666532769003734,0.0,-0.0020453365645180083,-0.004008183054477759,-0.0020453365645180083,True,0.2,10.0,linear_to_stocks
14,-0.0018870498635043071,0.7162176626078873,0.0,-0.0018870498635043071,-0.003849896353464045,-0.0018870498635043071,True,0.2,10.0,linear_to_stocks
