seed,path_name,objective
311,optimized,-0.003397618839357125
311,greedy,-0.011034225502385454
311,bisected,-0.004015536513252547
4177,optimized,-0.0035132489111710675
4177,greedy,-0.010953973937372423
4177,bisected,-0.004135316605409026
52683,optimized,-0.0031275915688491794
52683,greedy,-0.01089929479268825
52683,bisected,-0.003820393191086012
700919,optimized,-0.0033440695422750784
700919,greedy,-0.010920505489916925
700919,bisected,-0.004018091078900399
8675001,optimized,-0.0033429162671261814
8675001,greedy,-0.011210875124670401
8675001,bisected,-0.003943197869705612
