horizon,stock_weight,bond_weight,t_bill_weight
1,0.0,0.24,0.76
2,0.32,0.0,0.68
3,0.36,0.28,0.36
4,0.48,0.26,0.26
5,0.52,0.22,0.26
6,0.48,0.46,0.06
7,0.5,0.3,0.2
8,0.5,0.38,0.12
9,0.56,0.34,0.1
10,0.54,0.4,0.06
11,0.56,0.44,0.0
12,0.58,0.38,0.04
13,0.58,0.38,0.04
14,0.6,0.4,0.0
15,0.6,0.38,0.02
16,0.62,0.38,0.0
17,0.6409960978072285,0.3590039021927714,0.0
18,0.64,0.36,0.0
19,0.6523999859774469,0.3476000140225532,0.0
20,0.6569302528936076,0.3430697471063924,0.0
21,0.6589947323882217,0.3410052676117782,0.0
22,0.6646057472956617,0.3353942527043383,0.0
23,0.6667104461227839,0.3332895538772162,0.0
24,0.68,0.32,0.0
25,0.68,0.32,0.0
26,0.68,0.32,0.0
27,0.68,0.32,0.0
28,0.68,0.32,0.0
29,0.7,0.3,0.0
30,0.7,0.3,0.0
31,0.7,0.3,0.0
32,0.7,0.3,0.0
33,0.7,0.3,0.0
34,0.7,0.3,0.0
35,0.7,0.3,0.0
36,0.7,0.3,0.0
37,0.7,0.3,0.0
38,0.7,0.3,0.0
39,0.7,0.3,0.0
40,0.7,0.3,0.0
41,0.68,0.32,0.0
42,0.7,0.3,0.0
43,0.68,0.32,0.0
44,0.68,0.32,0.0
45,0.68,0.32,0.0
46,0.68,0.32,0.0
47,0.68,0.32,0.0
48,0.68,0.32,0.0
49,0.68,0.32,0.0
50,0.66,0.34,0.0
