horizon,stock_weight,bond_weight,t_bill_weight
1,0.0,0.24,0.76
2,0.38666666666666666,0.18000000000000002,0.43333333333333335
3,0.42,0.19,0.39
4,0.43200000000000005,0.244,0.324
5,0.46799999999999997,0.304,0.22799999999999998
6,0.496,0.324,0.18
7,0.512,0.33999999999999997,0.148
8,0.5159999999999999,0.376,0.10799999999999994
9,0.532,0.372,0.096
10,0.548,0.388,0.064
11,0.5640000000000001,0.388,0.048
12,0.5720000000000001,0.4,0.028000000000000004
13,0.5840000000000001,0.396,0.02
14,0.596,0.384,0.02
15,0.6081992195614456,0.3798007804385543,0.012000000000000037
16,0.6201992195614456,0.3758007804385543,0.004
17,0.6306792167569351,0.3653207832430649,0.004
18,0.6420652673356566,0.3579347326643434,0.0
19,0.649864213813301,0.35013578618669905,0.0
20,0.6545861437109876,0.34541385628901244,0.0
21,0.6599282329355444,0.3400717670644557,0.0
22,0.665448235740055,0.33455176425994504,0.0
23,0.6700621851613335,0.3299378148386666,0.0
24,0.6742632386836891,0.32573676131631085,0.0
25,0.6773420892245569,0.32265791077544326,0.0
26,0.68,0.32,0.0
27,0.6839999999999999,0.316,0.0
28,0.6880000000000001,0.312,0.0
29,0.692,0.308,0.0
30,0.6960000000000001,0.304,0.0
31,0.7,0.3,0.0
32,0.7,0.3,0.0
33,0.7,0.3,0.0
34,0.7,0.3,0.0
35,0.7,0.3,0.0
36,0.7,0.3,0.0
37,0.7,0.3,0.0
38,0.7,0.3,0.0
39,0.696,0.304,0.0
40,0.696,0.304,0.0
41,0.6920000000000001,0.308,0.0
42,0.6880000000000001,0.312,0.0
43,0.684,0.316,0.0
44,0.684,0.316,0.0
45,0.68,0.32,0.0
46,0.68,0.32,0.0
47,0.68,0.32,0.0
48,0.676,0.324,0.0
49,0.675,0.325,0.0
50,0.6733333333333333,0.32666666666666666,0.0
