starting_age,stock_weight,bond_weight,t_bill_weight,withdrawal_rate,phase
65,0.48,0.24,0.28,0.035,post_retirement_fixed
66,0.48,0.24,0.28,0.035,post_retirement_fixed
67,0.48,0.24,0.28,0.035,post_retirement_fixed
68,0.48,0.24,0.28,0.035,post_retirement_fixed
69,0.48,0.24,0.28,0.035,post_retirement_fixed
70,0.48,0.24,0.28,0.035,post_retirement_fixed
71,0.48,0.24,0.28,0.035,post_retirement_fixed
72,0.48,0.24,0.28,0.035,post_retirement_fixed
73,0.48,0.24,0.28,0.035,post_retirement_fixed
74,0.48,0.24,0.28,0.035,post_retirement_fixed
75,0.48,0.24,0.28,0.035,post_retirement_fixed
76,0.48,0.24,0.28,0.035,post_retirement_fixed
77,0.48,0.24,0.28,0.035,post_retirement_fixed
78,0.48,0.24,0.28,0.035,post_retirement_fixed
79,0.48,0.24,0.28,0.035,post_retirement_fixed
80,0.48,0.24,0.28,0.035,post_retirement_fixed
81,0.48,0.24,0.28,0.035,post_retirement_fixed
82,0.48,0.24,0.28,0.035,post_retirement_fixed
83,0.48,0.24,0.28,0.035,post_retirement_fixed
84,0.48,0.24,0.28,0.035,post_retirement_fixed
85,0.48,0.24,0.28,0.035,post_retirement_fixed
86,0.48,0.24,0.28,0.035,post_retirement_fixed
87,0.48,0.24,0.28,0.035,post_retirement_fixed
88,0.48,0.24,0.28,0.035,post_retirement_fixed
89,0.48,0.24,0.28,0.035,post_retirement_fixed
90,0.48,0.24,0.28,0.035,post_retirement_fixed
